camera_id,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms
left,279828862,240,279828862,240,289692666,240,335936622,240,351542018,240,354549400,9.864,46.244,15.605,3.007,64.857,74.721,,
right,329145127,240,329145127,240,335854650,240,335936622,240,354105893,240,357402407,6.710,0.082,18.169,3.297,21.548,28.257,,
left,379683865,240,379683865,240,389463973,240,438352668,240,453525598,240,456567534,9.780,48.889,15.173,3.042,67.104,76.884,,
right,429305111,240,429305111,240,438238924,240,438352668,240,456019212,240,458114561,8.934,0.114,17.667,2.095,19.876,28.809,,
left,479658445,240,479658445,240,488313417,240,539039768,240,554464943,240,556380587,8.655,50.726,15.425,1.916,68.067,76.722,,
front,526773122,240,526773122,240,534763405,240,539039768,240,555691241,240,557482326,7.990,4.276,16.651,1.791,22.719,30.709,,
right,529339780,240,529339780,240,538942924,240,539039768,240,557169276,240,558983336,9.603,0.097,18.130,1.814,20.040,29.644,47.115,49.681
left,579672234,240,579672234,240,588763187,240,636408988,240,652211323,240,653791303,9.091,47.646,15.802,1.580,65.028,74.119,,
front,626812876,240,626812876,240,634694708,240,636408988,240,653325939,240,654552223,7.882,1.714,16.917,1.226,19.858,27.739,,
right,629282165,240,629282165,240,636277079,240,636408988,240,654526989,240,656078969,6.995,0.132,18.118,1.552,19.802,26.797,47.141,49.610
left,679682776,240,679682776,240,688320408,240,736253397,240,752170783,240,753824322,8.638,47.933,15.917,1.654,65.504,74.142,,
front,726428786,240,726428786,240,736176258,240,736253397,240,753267166,240,754754288,9.747,0.077,17.014,1.487,18.578,28.326,,
right,729472608,240,729472608,240,735852370,240,736253397,240,754510500,240,755770605,6.380,0.401,18.257,1.260,19.918,26.298,46.746,49.790
left,779555401,240,779555401,240,788395668,240,867854974,240,883159779,240,885113228,8.840,79.459,15.305,1.953,96.718,105.558,,
front,859896438,240,859896438,240,867736370,240,867854974,240,884327592,240,886150175,7.840,0.119,16.473,1.823,18.414,26.254,,
right,827919593,240,827919593,240,836252892,240,867854974,240,885736611,240,887127654,8.333,31.602,17.882,1.391,50.875,59.208,80.341,48.364
left,879772467,240,879772467,240,889646753,240,969277941,240,984617274,240,986308524,9.874,79.631,15.339,1.691,96.662,106.536,,
front,960104691,240,960104691,240,969181477,240,969277941,240,985753523,240,987287843,9.077,0.096,16.476,1.534,18.106,27.183,,
right,927916942,240,927916942,240,935283089,240,969277941,240,986721918,240,988109926,7.366,33.995,17.444,1.388,52.827,60.193,80.332,48.144
left,979982933,240,979982933,240,989621843,241,034187059,241,049715293,241,051146622,9.639,44.565,15.528,1.431,61.525,71.164,,
front,986368069,240,986368069,240,994871103,241,034187059,241,050727691,241,052091942,8.503,39.316,16.541,1.364,57.221,65.724,,
right,28080899,241,028080899,241,034096631,241,034187059,241,052116426,241,053788844,6.016,0.090,17.929,1.672,19.692,25.708,6.385,48.098
left,79860079,241,079860079,241,089378928,241,167600302,241,183073546,241,185239507,9.519,78.221,15.473,2.166,95.861,105.379,,
front,160215435,241,160215435,241,167468363,241,167600302,241,184422005,241,185829739,7.253,0.132,16.822,1.408,18.361,25.614,,
right,127989772,241,127989772,241,136199116,241,167600302,241,185700003,241,186992193,8.209,31.401,18.100,1.292,50.793,59.002,80.355,48.130
left,180027539,241,180027539,241,189701461,241,267747694,241,283224554,241,284963300,9.674,78.046,15.477,1.739,95.262,104.936,,
front,259693562,241,259693562,241,267634054,241,267747694,241,284363985,241,285896920,7.940,0.114,16.616,1.533,18.263,26.203,,
right,227982776,241,227982776,241,236480224,241,267747694,241,285830458,241,287311248,8.497,31.267,18.083,1.481,50.831,59.328,79.666,47.955
left,279741463,241,279741463,241,290864415,241,367894852,241,384325519,241,386087344,11.123,77.030,16.431,1.762,95.223,106.346,,
front,360019589,241,360019589,241,367749953,241,367894852,241,385586187,241,387135691,7.730,0.145,17.691,1.550,19.386,27.116,,
right,328015761,241,328015761,241,334300568,241,367894852,241,387044675,241,388674093,6.285,33.594,19.150,1.629,54.374,60.658,80.278,48.274
left,379915209,241,379915209,241,389899081,241,468570790,241,484255519,241,486190700,9.984,78.672,15.685,1.935,96.292,106.275,,
front,459681342,241,459681342,241,468462343,241,468570790,241,485490799,241,487276458,8.781,0.108,16.920,1.786,18.814,27.595,,
right,428007848,241,428007848,241,434197531,241,468570790,241,486803560,241,488270303,6.190,34.373,18.233,1.467,54.073,60.262,79.766,48.093
left,479771030,241,479771030,241,489457367,241,567741449,241,584862991,241,586563991,9.686,78.284,17.122,1.701,97.107,106.793,,
front,559631830,241,559631830,241,567620607,241,567741449,241,586088618,241,587964012,7.989,0.121,18.347,1.875,20.343,28.332,,
right,528031678,241,528031678,241,534159940,241,567741449,241,588080370,241,590408453,6.128,33.582,20.339,2.328,56.249,62.377,79.861,48.261
left,679817953,241,679817953,241,689604922,241,689716116,241,705435896,241,706918317,9.787,0.111,15.720,1.482,17.313,27.100,,
front,659993738,241,659993738,241,667696272,241,689716116,241,706528745,241,707904050,7.703,22.020,16.813,1.375,40.208,47.910,,
right,627982033,241,627982033,241,634152817,241,689716116,241,707674133,241,708959955,6.171,55.563,17.958,1.286,74.807,80.978,-19.824,-51.836
left,779860735,241,779860735,241,788856876,241,788946222,241,806529217,241,808097110,8.996,0.089,17.583,1.568,19.240,28.236,,
front,759587977,241,759587977,241,798390082,241,788946222,241,807645309,241,809144608,38.802,-9.444,18.699,1.499,10.755,49.557,,
right,728137143,241,728137143,241,733992176,241,788946222,241,809121996,241,810754805,5.855,54.954,20.176,1.633,76.763,82.618,-20.273,-51.724
left,879836954,241,879836954,241,890701457,241,968292133,241,984860049,241,986390970,10.865,77.591,16.568,1.531,95.690,106.554,,
front,959787433,241,959787433,241,968192316,241,968292133,241,985994700,241,988509058,8.405,0.100,17.703,2.514,20.317,28.722,,
right,928073668,241,928073668,241,933981296,241,968292133,241,987343219,241,989588393,5.908,34.311,19.051,2.245,55.607,61.515,79.950,48.237
left,980167084,241,980167084,241,989874824,242,067966523,242,083654312,242,085394985,9.708,78.092,15.688,1.741,95.520,105.228,,
front,60258625,242,060258625,242,067846394,242,067966523,242,084960205,242,086319494,7.588,0.120,16.994,1.359,18.473,26.061,,
right,28155556,242,028155556,242,034099932,242,067966523,242,086332330,242,087617075,5.944,33.867,18.366,1.285,53.517,59.462,80.092,47.988
left,79825294,242,079825294,242,090022935,242,168201129,242,183633760,242,185407153,10.198,78.178,15.433,1.773,95.384,105.582,,
front,160203196,242,160203196,242,168093375,242,168201129,242,185152369,242,186941235,7.890,0.108,16.951,1.789,18.848,26.738,,
right,128145964,242,128145964,242,134097143,242,168201129,242,186807043,242,188454604,5.951,34.104,18.606,1.648,54.357,60.309,80.378,48.321
left,179796239,242,179796239,242,189850554,242,269821275,242,285443730,242,287361162,10.054,79.971,15.622,1.917,97.511,107.565,,
front,259889896,242,259889896,242,269720707,242,269821275,242,286859624,242,288476790,9.831,0.101,17.038,1.617,18.756,28.587,,
right,228123423,242,228123423,242,233849079,242,269821275,242,288388283,242,290070885,5.726,35.972,18.567,1.683,56.222,61.947,80.094,48.327
left,379783137,242,379783137,242,390377615,242,390480642,242,406869601,242,408432926,10.594,0.103,16.389,1.563,18.055,28.650,,
front,359637637,242,359637637,242,367353605,242,390480642,242,407891012,242,409211999,7.716,23.127,17.410,1.321,41.858,49.574,,
right,328040813,242,328040813,242,334091510,242,390480642,242,409010661,242,410494688,6.051,56.389,18.530,1.484,76.403,82.454,-20.145,-51.742
left,479828720,242,479828720,242,491316778,242,491410234,242,506704901,242,508704872,11.488,0.093,15.295,2.000,17.388,28.876,,
front,460031969,242,460031969,242,469913775,242,491410234,242,507852224,242,509555181,9.882,21.496,16.442,1.703,39.641,49.523,,
right,428024342,242,428024342,242,434855478,242,491410234,242,509310531,242,511014943,6.831,56.555,17.900,1.704,76.159,82.991,-19.797,-51.804
left,579858182,242,579858182,242,590666628,242,590750457,242,605954697,242,607509888,10.808,0.084,15.204,1.555,16.843,27.652,,
front,560330524,242,560330524,242,568067739,242,590750457,242,606965392,242,608162789,7.737,22.683,16.215,1.197,40.095,47.832,,
right,528042820,242,528042820,242,534177100,242,590750457,242,608004937,242,609318049,6.134,56.573,17.254,1.313,75.141,81.275,-19.528,-51.815
left,679818737,242,679818737,242,690196533,242,690282613,242,705573557,242,707141206,10.378,0.086,15.291,1.568,16.945,27.322,,
front,659987210,242,659987210,242,668981587,242,690282613,242,706568775,242,707732674,8.994,21.301,16.286,1.164,38.751,47.745,,
right,628275744,242,628275744,242,634304604,242,690282613,242,707793410,242,709178323,6.029,55.978,17.511,1.385,74.874,80.903,-19.832,-51.543
left,779868611,242,779868611,242,788476104,242,788609774,242,804854919,242,806397703,8.607,0.134,16.245,1.543,17.922,26.529,,
front,760036665,242,760036665,242,768944537,242,788609774,242,805826992,242,807036568,8.908,19.665,17.217,1.210,38.092,47.000,,
right,728091284,242,728091284,242,735067597,242,788609774,242,806999334,242,808405039,6.976,53.542,18.390,1.406,73.337,80.314,-19.832,-51.777
left,879846032,242,879846032,242,889285885,242,889388315,242,904470306,242,906054921,9.440,0.102,15.082,1.585,16.769,26.209,,
front,860206829,242,860206829,242,868661102,242,889388315,242,905456700,242,906538697,8.454,20.727,16.068,1.082,37.878,46.332,,
right,828042792,242,828042792,242,834310708,242,889388315,242,906560463,242,907986187,6.268,55.078,17.172,1.426,73.675,79.943,-19.639,-51.803
