camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,56,785513141,16977,785513141,16977,791969797,16977,863800219,16977,883818991,16977,888139476,6.457,71.830,20.019,4.320,96.170,102.626,,,0,0
front,81,809106632,16977,809106632,16977,812855717,16977,863800219,16977,886328620,16977,890651900,3.749,50.945,22.528,4.323,77.796,81.545,,,0,0
right,32,860742583,16977,860742583,16977,863651865,16977,863800219,16977,889936759,16977,892245811,2.909,0.148,26.137,2.309,28.594,31.503,23.593,75.229,0,0
left,58,985515968,16977,985515968,16977,989149631,16977,989633336,16978,010435541,16978,013801766,3.634,0.484,20.802,3.366,24.652,28.286,,,1,1
front,82,909068394,16977,909068394,16978,011563127,16977,989633336,16978,013239563,16978,014978516,102.495,-21.930,23.606,1.739,3.415,105.910,,,0,0
right,33,960876962,16977,960876962,16977,963889438,16977,989633336,16978,014943001,16978,016960987,3.012,25.744,25.310,2.018,53.072,56.084,-76.448,-24.639,0,0
left,59,85487599,16978,085487599,16978,088275139,16978,112358623,16978,135121473,16978,137994031,2.788,24.083,22.763,2.873,49.719,52.506,,,0,1
front,84,109053694,16978,109053694,16978,112235340,16978,112358623,16978,137455085,16978,139110292,3.182,0.123,25.096,1.655,26.875,30.057,,,1,1
right,34,60680321,16978,060680321,16978,064421747,16978,112358623,16978,139115894,16978,141012168,3.741,47.937,26.757,1.896,76.590,80.332,23.566,-24.807,0,0
left,60,185524618,16978,185524618,16978,189385498,16978,212875745,16978,233427080,16978,236420178,3.861,23.490,20.551,2.993,47.035,50.896,,,0,1
front,85,209169126,16978,209169126,16978,212650358,16978,212875745,16978,235851028,16978,237393301,3.481,0.225,22.975,1.542,24.743,28.224,,,0,1
right,35,160683456,16978,160683456,16978,163648001,16978,212875745,16978,237178375,16978,238670297,2.965,49.228,24.303,1.492,75.022,77.987,23.645,-24.841,0,0
left,61,285500945,16978,285500945,16978,287427785,16978,311913377,16978,327241971,16978,328732655,1.927,24.486,15.329,1.491,41.305,43.232,,,0,1
