camera_id,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms
front,824783360,5468,824783360,5468,847532390,5468,859803940,5468,890818245,5468,895282022,22.749,12.272,31.014,4.464,47.750,70.499,,
right,837955825,5468,837955825,5468,859578197,5468,859803940,5468,894038944,5468,897542552,21.622,0.226,34.235,3.504,37.964,59.587,,
left,908364191,5468,908364191,5468,929859636,5468,954747624,5468,970958716,5468,973373311,21.495,24.888,16.211,2.415,43.514,65.009,,
front,920357114,5468,920357114,5468,942552544,5468,954747624,5468,972644917,5468,973986911,22.195,12.195,17.897,1.342,31.434,53.630,,
right,932671848,5468,932671848,5468,954266206,5468,954747624,5468,974492986,5468,975700279,21.594,0.481,19.745,1.207,21.434,43.028,11.993,24.308
left,15099710,5469,015099710,5469,031857182,5469,074709714,5469,090632844,5469,092134949,16.757,42.853,15.923,1.502,60.278,77.035,,
front,34630146,5469,034630146,5469,056108732,5469,074709714,5469,092073720,5469,093373669,21.479,18.601,17.364,1.300,37.265,58.744,,
right,53421120,5469,053421120,5469,074326005,5469,074709714,5469,093607626,5469,094920304,20.905,0.384,18.898,1.313,20.594,41.499,19.530,38.321
left,115083342,5469,115083342,5469,137313108,5469,175671125,5469,191943235,5469,193741506,22.230,38.358,16.272,1.798,56.428,78.658,,
front,134558206,5469,134558206,5469,155809667,5469,175671125,5469,193490224,5469,194797511,21.251,19.861,17.819,1.307,38.988,60.239,,
right,153753485,5469,153753485,5469,175165940,5469,175671125,5469,195154637,5469,196535637,21.412,0.505,19.484,1.381,21.370,42.782,19.475,38.670
left,208453653,5469,208453653,5469,229847614,5469,252804684,5469,269209549,5469,271031018,21.394,22.957,16.405,1.821,41.183,62.577,,
front,220729560,5469,220729560,5469,236766616,5469,252804684,5469,270974608,5469,272670777,16.037,16.038,18.170,1.696,35.904,51.941,,
right,233164793,5469,233164793,5469,252319999,5469,252804684,5469,272740099,5469,274122067,19.155,0.485,19.935,1.382,21.802,40.957,12.276,24.711
left,308836190,5469,308836190,5469,327482063,5469,355598930,5469,371593059,5469,373443989,18.646,28.117,15.994,1.851,45.962,64.608,,
front,321310677,5469,321310677,5469,343555649,5469,355598930,5469,373290531,5469,374868512,22.245,12.043,17.692,1.578,31.313,53.558,,
right,340953462,5469,340953462,5469,355221851,5469,355598930,5469,375220618,5469,376443378,14.268,0.377,19.622,1.223,21.222,35.490,12.474,32.117
left,414947712,5469,414947712,5469,436279884,5469,475112792,5469,491314487,5469,492900366,21.332,38.833,16.202,1.586,56.620,77.953,,
front,434284551,5469,434284551,5469,453305695,5469,475112792,5469,493020027,5469,494216518,19.021,21.807,17.907,1.196,40.911,59.932,,
right,453614947,5469,453614947,5469,474583812,5469,475112792,5469,494579601,5469,495765230,20.969,0.529,19.467,1.186,21.181,42.150,19.337,38.667
left,511831882,5469,511831882,5469,528552112,5469,552216342,5469,568669465,5469,570346732,16.720,23.664,16.453,1.677,41.795,58.515,,
front,524441179,5469,524441179,5469,546002035,5469,552216342,5469,570407589,5469,571810744,21.561,6.214,18.191,1.403,25.809,47.370,,
right,536453060,5469,536453060,5469,551686084,5469,552216342,5469,572043206,5469,573944720,15.233,0.530,19.827,1.902,22.259,37.492,12.609,24.621
left,615373240,5469,615373240,5469,636500615,5469,669531545,5469,686071580,5469,687735398,21.127,33.031,16.540,1.664,51.235,72.362,,
front,634861338,5469,634861338,5469,649850666,5469,669531545,5469,687925236,5469,689458125,14.989,19.681,18.394,1.533,39.607,54.597,,
right,654536376,5469,654536376,5469,669003323,5469,669531545,5469,689582791,5469,691466242,14.467,0.528,20.051,1.883,22.463,36.930,19.488,39.163
left,715113495,5469,715113495,5469,736655859,5469,775263844,5469,792572178,5469,794225196,21.542,38.608,17.308,1.653,57.569,79.112,,
front,734563145,5469,734563145,5469,756132156,5469,775263844,5469,794212508,5469,795475018,21.569,19.132,18.949,1.263,39.343,60.912,,
right,753639125,5469,753639125,5469,774706996,5469,775263844,5469,795708040,5469,796904331,21.068,0.557,20.444,1.196,22.197,43.265,19.450,38.526
left,815536549,5469,815536549,5469,829849562,5469,867360692,5469,883716312,5469,885529230,14.313,37.511,16.356,1.813,55.680,69.993,,
front,833636936,5469,833636936,5469,848518819,5469,867360692,5469,885404816,5469,886778419,14.882,18.842,18.044,1.374,38.260,53.141,,
right,845763317,5469,845763317,5469,866773928,5469,867360692,5469,886969162,5469,888129796,21.011,0.587,19.608,1.161,21.356,42.366,18.100,30.227
left,914631485,5469,914631485,5469,935815307,5469,973733658,5469,990233515,5469,991963918,21.184,37.918,16.500,1.730,56.149,77.332,,
front,933393051,5469,933393051,5469,954066945,5469,973733658,5469,991818668,5469,993084806,20.674,19.667,18.085,1.266,39.018,59.692,,
right,952350589,5469,952350589,5469,973201725,5469,973733658,5469,993403916,5469,994644506,20.851,0.532,19.670,1.241,21.443,42.294,18.762,37.719
