camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,31,331401596,16824,331401596,16824,345050958,16824,370363406,16824,390187070,16824,404586993,13.649,25.312,19.824,14.400,59.536,73.185,,,0,0
front,56,355519147,16824,355519147,16824,370087034,16824,370363406,16824,392411199,16824,406159450,14.568,0.276,22.048,13.748,36.072,50.640,,,0,0
right,6,306608388,16824,306608388,16824,333274005,16824,370363406,16824,394059912,16824,407663333,26.666,37.089,23.697,13.603,74.389,101.055,24.118,-24.793,0,0
left,32,431287978,16824,431287978,16824,433803933,16824,468966405,16824,489492479,16824,512168698,2.516,35.162,20.526,22.676,78.365,80.881,,,0,0
front,57,455514767,16824,455514767,16824,468290481,16824,468966405,16824,491099588,16824,523538174,12.776,0.676,22.133,32.439,55.248,68.023,,,0,0
right,7,406698749,16824,406698749,16824,419326273,16824,468966405,16824,492424432,16824,525382436,12.628,49.640,23.458,32.958,106.056,118.684,24.227,-24.589,0,0
front,58,555506229,16824,555506229,16824,557604040,16824,557803709,16824,579806727,16824,581555344,2.098,0.200,22.003,1.749,23.951,26.049,,,0,0
right,8,506607448,16824,506607448,16824,509576391,16824,557803709,16824,581298157,16824,583328103,2.969,48.227,23.494,2.030,73.752,76.721,,,0,0
left,33,531263654,16824,531263654,16824,533708969,16824,557803709,16824,578188128,16824,590669158,2.445,24.095,20.384,12.481,56.960,59.406,24.243,-24.656,0,0
right,9,606618572,16824,606618572,16824,619445384,16824,668037920,16824,691380179,16824,703877073,12.827,48.593,23.342,12.497,84.432,97.259,,,0,0
left,34,631341131,16824,631341131,16824,654535936,16824,668037920,16824,688430792,16824,711889903,23.195,13.502,20.393,23.459,57.354,80.549,,,0,0
front,59,655517835,16824,655517835,16824,667949111,16824,668037920,16824,690003752,16824,723541774,12.431,0.089,21.966,33.538,55.593,68.024,24.177,-24.723,0,0
left,35,731277175,16824,731277175,16824,743678294,16824,769245739,16824,789417384,16824,791699775,12.401,25.567,20.172,2.282,48.021,60.423,,,0,0
front,60,755508587,16824,755508587,16824,769136770,16824,769245739,16824,791209290,16824,813789454,13.628,0.109,21.964,22.580,44.653,58.281,,,0,0
right,10,706660260,16824,706660260,16824,708942156,16824,769245739,16824,792618416,16824,825730291,2.282,60.304,23.373,33.112,116.788,119.070,24.231,-24.617,0,0
front,61,855493152,16824,855493152,16824,868472233,16824,868572985,16824,890503107,16824,913550694,12.979,0.101,21.930,23.048,45.078,58.058,,,0,0
left,36,831310784,16824,831310784,16824,834048408,16824,868572985,16824,888966930,16824,923398979,2.738,34.525,20.394,34.432,89.351,92.088,,,0,0
right,11,806601371,16824,806601371,16824,808719161,16824,868572985,16824,891879134,16824,925493816,2.118,59.854,23.306,33.615,116.775,118.892,24.182,-24.709,0,0
right,12,906629791,16824,906629791,16824,919116890,16824,968338843,16824,991221480,16825,014267959,12.487,49.222,22.883,23.046,95.151,107.638,,,0,0
left,37,931264491,16824,931264491,16824,933792665,16824,968338843,16824,988167124,16825,022537045,2.528,34.546,19.828,34.370,88.744,91.273,,,0,0
front,62,955515696,16824,955515696,16824,968254409,16824,968338843,16824,989809435,16825,023559693,12.739,0.084,21.471,33.750,55.305,68.044,24.251,-24.635,0,0
front,63,55503553,16825,055503553,16825,058175348,16825,058276221,16825,080183802,16825,113627294,2.672,0.101,21.908,33.443,55.452,58.124,,,0,0
right,13,6634719,16825,006634719,16825,019064612,16825,058276221,16825,081212221,16825,114509182,12.430,39.212,22.936,33.297,95.445,107.874,,,0,0
left,38,31350458,16825,031350458,16825,043946014,16825,058276221,16825,078617456,16825,123301374,12.596,14.330,20.341,44.684,79.355,91.951,24.153,-24.716,0,0
right,14,106642522,16825,106642522,16825,119950808,16825,178703131,16825,202407558,16825,226011557,13.308,58.752,23.704,23.604,106.061,119.369,,,0,0
left,39,131306792,16825,131306792,16825,133352602,16825,178703131,16825,199466066,16825,244211864,2.046,45.351,20.763,44.746,110.859,112.905,,,0,0
front,64,155503962,16825,155503962,16825,178636195,16825,178703131,16825,201025451,16825,244620190,23.132,0.067,22.322,43.595,65.984,89.116,24.197,-24.664,0,0
left,40,231351787,16825,231351787,16825,244073287,16825,319595765,16825,340429953,16825,352673626,12.722,75.522,20.834,12.244,108.600,121.322,,,0,0
front,65,255490826,16825,255490826,16825,257602177,16825,319595765,16825,342168284,16825,353891381,2.111,61.994,22.573,11.723,96.289,98.401,,,0,0
right,16,306698709,16825,306698709,16825,319509402,16825,319595765,16825,343510076,16825,355781710,12.811,0.086,23.914,12.272,36.272,49.083,24.139,75.347,1,1
front,66,355508254,16825,355508254,16825,368373523,16825,443409097,16825,466949163,16825,469147000,12.865,75.036,23.540,2.198,100.773,113.639,,,0,0
right,17,406775332,16825,406775332,16825,419070369,16825,443409097,16825,469333334,16825,471325201,12.295,24.339,25.924,1.992,52.255,64.550,,,0,1
left,42,431362231,16825,431362231,16825,443334566,16825,443409097,16825,464171580,16825,477504985,11.972,0.075,20.762,13.333,34.170,46.143,-75.854,-24.587,1,1
left,43,531355185,16825,531355185,16825,533303844,16825,567557693,16825,586173190,16825,609360905,1.949,34.254,18.615,23.188,76.057,78.006,,,0,1
front,68,555545548,16825,555545548,16825,567488420,16825,567557693,16825,587775142,16825,610151418,11.943,0.069,20.217,22.376,42.663,54.606,,,1,1
right,18,506620162,16825,506620162,16825,508504813,16825,567557693,16825,589191043,16825,612018303,1.885,59.053,21.633,22.827,103.513,105.398,24.190,-24.735,0,1
front,69,655538173,16825,655538173,16825,657428010,16825,657706670,16825,679490962,16825,691433788,1.890,0.279,21.784,11.943,34.006,35.896,,,0,1
left,44,631339153,16825,631339153,16825,633703197,16825,657706670,16825,677864449,16825,711677498,2.364,24.003,20.158,33.813,77.974,80.338,,,0,1
right,19,606624023,16825,606624023,16825,608633951,16825,657706670,16825,680970997,16825,713924011,2.010,49.073,23.264,32.953,105.290,107.300,24.199,-24.715,0,1
right,20,706642877,16825,706642877,16825,708804548,16825,768144574,16825,790839133,16825,792794707,2.162,59.340,22.695,1.956,83.990,86.152,,,0,1
left,45,731308806,16825,731308806,16825,743462858,16825,768144574,16825,787861164,16825,800205079,12.154,24.682,19.717,12.344,56.742,68.896,,,0,1
front,70,755514278,16825,755514278,16825,767931310,16825,768144574,16825,789579850,16825,833083834,12.417,0.213,21.435,43.504,65.153,77.570,24.205,-24.666,0,1
front,71,855513076,16825,855513076,16825,867523668,16825,867613427,16825,889902551,16825,912233276,12.011,0.090,22.289,22.331,44.710,56.720,,,0,1
right,21,806638352,16825,806638352,16825,808438471,16825,867613427,16825,891060806,16825,913203300,1.800,59.175,23.447,22.142,104.765,106.565,,,0,1
left,46,831390257,16825,831390257,16825,843359028,16825,867613427,16825,888207081,16825,932673658,11.969,24.254,20.594,44.467,89.315,101.283,24.123,-24.752,0,1
left,47,931371525,16825,931371525,16825,943094902,16825,967603767,16825,987842860,16826,021827460,11.723,24.509,20.239,33.985,78.733,90.456,,,0,1
front,72,955624420,16825,955624420,16825,967490813,16825,967603767,16825,989485145,16826,022541095,11.866,0.113,21.881,33.056,55.050,66.917,,,0,1
right,22,906701248,16825,906701248,16825,918704374,16825,967603767,16825,990959088,16826,023768806,12.003,48.899,23.355,32.810,105.064,117.068,24.253,-24.670,0,1
left,48,31384180,16826,031384180,16826,033459704,16826,067457881,16826,088403044,16826,100992082,2.076,33.998,20.945,12.589,67.532,69.608,,,0,1
front,73,55504668,16826,055504668,16826,067345113,16826,067457881,16826,090003688,16826,101815909,11.840,0.113,22.546,11.812,34.471,46.311,,,0,1
right,23,6665033,16826,006665033,16826,029668916,16826,067457881,16826,091335258,16826,103756546,23.004,37.789,23.877,12.421,74.088,97.092,24.120,-24.719,0,1
right,24,106658419,16826,106658419,16826,128971234,16826,168241410,16826,191624387,16826,204207960,22.313,39.270,23.383,12.584,75.237,97.550,,,0,1
left,49,131330720,16826,131330720,16826,143186565,16826,168241410,16826,188496988,16826,211770132,11.856,25.055,20.256,23.273,68.584,80.439,,,0,1
front,74,155519679,16826,155519679,16826,168142286,16826,168241410,16826,190137151,16826,212770798,12.623,0.099,21.896,22.634,44.629,57.251,24.189,-24.672,0,1
front,75,255503959,16826,255503959,16826,257070590,16826,257191175,16826,279635918,16826,291492012,1.567,0.121,22.445,11.856,34.421,35.988,,,0,1
right,25,206771085,16826,206771085,16826,208916259,16826,257191175,16826,281100623,16826,293719049,2.145,48.275,23.909,12.618,84.803,86.948,,,0,1
left,50,231337484,16826,231337484,16826,233206956,16826,257191175,16826,277993771,16826,300930216,1.869,23.984,20.803,22.936,67.723,69.593,24.166,-24.566,0,1
left,51,331316674,16826,331316674,16826,343274085,16826,367778651,16826,388576531,16826,401518644,11.957,24.505,20.798,12.942,58.245,70.202,,,0,1
right,26,306629456,16826,306629456,16826,308113904,16826,367778651,16826,391713875,16826,404891806,1.484,59.665,23.935,13.178,96.778,98.262,,,0,1
front,76,355528239,16826,355528239,16826,367693457,16826,367778651,16826,390235597,16826,413098104,12.165,0.085,22.457,22.863,45.405,57.570,24.212,-24.687,0,1
left,52,431353862,16826,431353862,16826,433514827,16826,457491000,16826,479484228,16826,513072476,2.161,23.976,21.993,33.588,79.558,81.719,,,0,1
front,77,455511495,16826,455511495,16826,457375649,16826,457491000,16826,481077946,16826,513719913,1.864,0.115,23.587,32.642,56.344,58.208,,,0,1
right,27,406633234,16826,406633234,16826,408318791,16826,457491000,16826,482383798,16826,515715605,1.686,49.172,24.893,33.332,107.397,109.082,24.158,-24.721,0,1
front,78,555564790,16826,555564790,16826,567127318,16826,567232702,16826,590854223,16826,592280382,11.563,0.105,23.622,1.426,25.153,36.716,,,0,1
right,28,506647431,16826,506647431,16826,508228324,16826,567232702,16826,592145484,16826,594236332,1.581,59.004,24.913,2.091,86.008,87.589,,,0,1
left,53,531333966,16826,531333966,16826,543756058,16826,567232702,16826,589183509,16826,601494366,12.422,23.477,21.951,12.311,57.738,70.160,24.231,-24.687,0,1
left,54,631317403,16826,631317403,16826,632948184,16826,667504317,16826,688162812,16826,700741069,1.631,34.556,20.658,12.578,67.793,69.424,,,0,1
right,29,606637680,16826,606637680,16826,618123791,16826,667504317,16826,691238759,16826,703337916,11.486,49.381,23.734,12.099,85.214,96.700,,,0,1
front,79,655522591,16826,655522591,16826,667421024,16826,667504317,16826,689794570,16826,712651606,11.898,0.083,22.290,22.857,45.231,57.129,24.205,-24.680,0,1
right,30,706752426,16826,706752426,16826,708410802,16826,778393248,16826,801472674,16826,813170858,1.658,69.982,23.079,11.698,104.760,106.418,,,0,1
left,55,731348203,16826,731348203,16826,732804649,16826,778393248,16826,798835913,16826,821965136,1.456,45.589,20.443,23.129,89.160,90.617,,,0,1
front,80,755563435,16826,755563435,16826,778302269,16826,778393248,16826,800404355,16826,822653841,22.739,0.091,22.011,22.249,44.352,67.090,24.215,-24.596,0,1
left,56,831385715,16826,831385715,16826,843124907,16826,857158263,16826,877694852,16826,890011915,11.739,14.033,20.537,12.317,46.887,58.626,,,0,1
front,81,855539487,16826,855539487,16826,857063841,16826,857158263,16826,879350154,16826,890829262,1.524,0.094,22.192,11.479,33.765,35.290,,,0,1
right,31,806666185,16826,806666185,16826,818970329,16826,857158263,16826,880665747,16826,892738983,12.304,38.188,23.507,12.073,73.769,86.073,24.154,-24.720,0,1
right,32,906668168,16826,906668168,16826,918278997,16826,957188014,16826,981249376,16826,982741629,11.611,38.909,24.061,1.492,64.463,76.073,,,0,1
front,82,955523840,16826,955523840,16826,957027459,16826,957188014,16826,979794279,16826,991383197,1.504,0.161,22.606,11.589,34.356,35.859,,,0,1
left,57,931335387,16826,931335387,16826,932652899,16826,957188014,16826,978177234,16827,021898032,1.318,24.535,20.989,43.721,89.245,90.563,24.188,-24.667,0,1
front,83,55533851,16827,055533851,16827,056982405,16827,057068481,16827,080004855,16827,081549506,1.449,0.086,22.936,1.545,24.567,26.016,,,0,1
right,33,6672271,16827,006672271,16827,008128467,16827,057068481,16827,081145329,16827,082442484,1.456,48.940,24.077,1.297,74.314,75.770,,,0,1
