camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,50,623300464,15876,623300464,15876,623300464,15876,645230080,15876,655369102,15876,659250845,0.000,21.930,10.139,3.882,35.950,35.950,,,0,0
front,75,646045397,15876,646045397,15876,646045397,15876,655564560,15876,663138368,15876,666128052,0.000,9.519,7.574,2.990,20.083,20.083,,,0,0
right,26,710194787,15876,710194787,15876,710194787,15876,719849134,15876,728174013,15876,730170090,0.000,9.654,8.325,1.996,19.975,19.975,,,0,0
left,51,723262617,15876,723262617,15876,723262617,15876,733298239,15876,741281763,15876,744116527,0.000,10.036,7.984,2.835,20.854,20.854,,,0,0
front,76,746114438,15876,746114438,15876,746114438,15876,756119978,15876,762718342,15876,764460847,0.000,10.006,6.598,1.743,18.346,18.346,,,0,0
right,27,810198739,15876,810198739,15876,810198739,15876,818475974,15876,824881547,15876,826709012,0.000,8.277,6.406,1.827,16.510,16.510,,,0,0
left,52,823309929,15876,823309929,15876,823309929,15876,836030609,15876,843637436,15876,845403807,0.000,12.721,7.607,1.766,22.094,22.094,,,0,0
front,77,846116052,15876,846116052,15876,846116052,15876,855597646,15876,861275967,15876,862567115,0.000,9.482,5.678,1.291,16.451,16.451,,,0,0
right,28,910213326,15876,910213326,15876,910213326,15876,917802696,15876,923779757,15876,925286227,0.000,7.589,5.977,1.506,15.073,15.073,,,0,0
left,53,923450214,15876,923450214,15876,923450214,15876,932860548,15876,939960931,15876,941703011,0.000,9.410,7.100,1.742,18.253,18.253,,,0,0
front,78,946125579,15876,946125579,15876,946125579,15876,954658196,15876,960472162,15876,961827349,0.000,8.533,5.814,1.355,15.702,15.702,,,0,0
right,29,10254872,15877,010254872,15877,010254872,15877,019916442,15877,026229718,15877,027678800,0.000,9.662,6.313,1.449,17.424,17.424,,,0,0
left,54,23281895,15877,023281895,15877,023281895,15877,033281361,15877,040538643,15877,042363532,0.000,9.999,7.257,1.825,19.082,19.082,,,0,0
front,79,46103723,15877,046103723,15877,046103723,15877,054892514,15877,060716280,15877,062055711,0.000,8.789,5.824,1.339,15.952,15.952,,,0,0
