camera_id,msg_seq,t1_sec,t1_nsec,t2_sec,t2_nsec,t3_sec,t3_nsec,t4_sec,t4_nsec,lat_t1_t2_ms,lat_t2_t3_ms,lat_t3_t4_ms,lat_t1_t4_total_ms
front,787602796,3778,787602796,3778,797604615,3778,810937776,3778,813776952,10.002,13.333,2.839,26.174
right,802824046,3778,802824046,3778,811227880,3778,824462198,3778,826753266,8.404,13.234,2.291,23.929
left,856123650,3778,856123650,3778,864772349,3778,878072733,3778,879282422,8.649,13.300,1.210,23.159
front,887501270,3778,887501270,3778,895023091,3778,908409138,3778,910628405,7.522,13.386,2.219,23.127
right,902812969,3778,902812969,3778,909549941,3778,922847325,3778,924118550,6.737,13.297,1.271,21.306
left,956123004,3778,956123004,3778,964551120,3778,977784314,3778,979267625,8.428,13.233,1.483,23.145
front,987429353,3778,987429353,3778,994524819,3779,007916938,3779,009152060,7.095,13.392,1.235,21.723
right,2810520,3779,002810520,3779,010210545,3779,023271180,3779,024163154,7.400,13.061,0.892,21.353
left,56125656,3779,056125656,3779,066743985,3779,080119098,3779,081223222,10.618,13.375,1.104,25.098
front,87477445,3779,087477445,3779,094233922,3779,107371498,3779,108594500,6.756,13.138,1.223,21.117
right,103070224,3779,103070224,3779,108513217,3779,121573028,3779,122584543,5.443,13.060,1.012,19.514
left,156160013,3779,156160013,3779,166452790,3779,179700524,3779,180801684,10.293,13.248,1.101,24.642
front,187491497,3779,187491497,3779,195005352,3779,208295833,3779,209531724,7.514,13.290,1.236,22.040
right,202822333,3779,202822333,3779,209551694,3779,222756744,3779,223857904,6.729,13.205,1.101,21.036
left,256337656,3779,256337656,3779,264275474,3779,277736789,3779,278841414,7.938,13.461,1.105,22.504
front,287510568,3779,287510568,3779,294415994,3779,307638070,3779,309025586,6.905,13.222,1.388,21.515
right,302823257,3779,302823257,3779,308100677,3779,321558284,3779,322754339,5.277,13.458,1.196,19.931
left,356284364,3779,356284364,3779,367195650,3779,380737709,3779,382846585,10.911,13.542,2.109,26.562
front,387514716,3779,387514716,3779,398230754,3779,412090106,3779,413535981,10.716,13.859,1.446,26.021
right,402822856,3779,402822856,3779,410334792,3779,423686525,3779,424848287,7.512,13.352,1.162,22.025
left,456259592,3779,456259592,3779,466161779,3779,479559795,3779,481096137,9.902,13.398,1.536,24.837
front,487506741,3779,487506741,3779,497957632,3779,511390604,3779,512570170,10.451,13.433,1.180,25.063
right,502948834,3779,502948834,3779,508859991,3779,522426190,3779,523381238,5.911,13.566,0.955,20.432
left,556130820,3779,556130820,3779,566608978,3779,579833677,3779,580951045,10.478,13.225,1.117,24.820
front,587490826,3779,587490826,3779,596612250,3779,610246278,3779,611469298,9.121,13.634,1.223,23.978
right,602824511,3779,602824511,3779,608314249,3779,621427019,3779,622362855,5.490,13.113,0.936,19.538
left,656156973,3779,656156973,3779,664178030,3779,677455874,3779,678603735,8.021,13.278,1.148,22.447
front,687467907,3779,687467907,3779,695336725,3779,708549600,3779,709755593,7.869,13.213,1.206,22.288
right,702837706,3779,702837706,3779,710055138,3779,723423179,3779,724559905,7.217,13.368,1.137,21.722
left,756196297,3779,756196297,3779,764168084,3779,777323889,3779,778448417,7.972,13.156,1.125,22.252
front,787466801,3779,787466801,3779,795683388,3779,809251580,3779,810605805,8.217,13.568,1.354,23.139
right,802900355,3779,802900355,3779,808210652,3779,821635738,3779,822627039,5.310,13.425,0.991,19.727
left,856220560,3779,856220560,3779,864594938,3779,878092398,3779,879186587,8.374,13.497,1.094,22.966
front,887481554,3779,887481554,3779,894532414,3779,907865535,3779,909202780,7.051,13.333,1.337,21.721
right,902899727,3779,902899727,3779,908615585,3779,921913137,3779,922903793,5.716,13.298,0.991,20.004
left,956229148,3779,956229148,3779,963840645,3779,977319855,3779,978621097,7.611,13.479,1.301,22.392
front,987458787,3779,987458787,3779,994123373,3780,007209507,3780,008576292,6.665,13.086,1.367,21.118
right,2941843,3780,002941843,3780,010796709,3780,023925622,3780,024941465,7.855,13.129,1.016,22.000
left,56199329,3780,056199329,3780,065312875,3780,078523915,3780,079884520,9.114,13.211,1.361,23.685
front,87507992,3780,087507992,3780,094354410,3780,107595153,3780,108828088,6.846,13.241,1.233,21.320
right,102969579,3780,102969579,3780,110606896,3780,123723816,3780,124894523,7.637,13.117,1.171,21.925
left,156210045,3780,156210045,3780,164475712,3780,178087363,3780,179785144,8.266,13.612,1.698,23.575
front,187522267,3780,187522267,3780,194596747,3780,207949487,3780,209030055,7.074,13.353,1.081,21.508
right,202883343,3780,202883343,3780,209816781,3780,223236579,3780,224295294,6.933,13.420,1.059,21.412
left,256314568,3780,256314568,3780,264192704,3780,277295762,3780,278690299,7.878,13.103,1.395,22.376
front,287531863,3780,287531863,3780,294516020,3780,307823395,3780,309038061,6.984,13.307,1.215,21.506
right,302936396,3780,302936396,3780,309846256,3780,323043669,3780,324118438,6.910,13.197,1.075,21.182
left,356255946,3780,356255946,3780,365575370,3780,378651002,3780,380035748,9.319,13.076,1.385,23.780
front,387554278,3780,387554278,3780,394518904,3780,407738192,3780,409096819,6.965,13.219,1.359,21.543
right,402900894,3780,402900894,3780,408649188,3780,421896182,3780,422916432,5.748,13.247,1.020,20.016
left,456208765,3780,456208765,3780,464201968,3780,477293030,3780,478424963,7.993,13.091,1.132,22.216
front,487492759,3780,487492759,3780,498828399,3780,512177874,3780,513332246,11.336,13.349,1.154,25.839
right,503030049,3780,503030049,3780,510111620,3780,523461557,3780,524521505,7.082,13.350,1.060,21.491
left,556193968,3780,556193968,3780,566945027,3780,580305276,3780,581571899,10.751,13.360,1.267,25.378
front,587530588,3780,587530588,3780,594846739,3780,608090340,3780,609216221,7.316,13.244,1.126,21.686
right,602869066,3780,602869066,3780,611032368,3780,624233069,3780,625176387,8.163,13.201,0.943,22.307
left,656275715,3780,656275715,3780,666975726,3780,680326116,3780,681482980,10.700,13.350,1.157,25.207
front,687548051,3780,687548051,3780,694183426,3780,707582937,3780,708674435,6.635,13.400,1.091,21.126
right,702871756,3780,702871756,3780,711823313,3780,725149966,3780,726542158,8.952,13.327,1.392,23.670
left,756370406,3780,756370406,3780,764728955,3780,777889190,3780,778992976,8.359,13.160,1.104,22.623
front,787482637,3780,787482637,3780,794303485,3780,807717519,3780,808830473,6.821,13.414,1.113,21.348
right,802862910,3780,802862910,3780,810812814,3780,823963926,3780,825062460,7.950,13.151,1.099,22.200
