camera_id,msg_seq,t1_sec,t1_nsec,t2_sec,t2_nsec,t3_sec,t3_nsec,t4_sec,t4_nsec,lat_t1_t2_ms,lat_t2_t3_ms,lat_t3_t4_ms,lat_t1_t4_total_ms
right,31648346,3342,031648346,3342,039754567,3342,053091396,3342,055809460,8.106,13.337,2.718,24.161
left,75267150,3342,075267150,3342,083556044,3342,096892027,3342,099337772,8.289,13.336,2.446,24.071
front,85815016,3342,085815016,3342,093103645,3342,107826176,3342,109802202,7.289,14.723,1.976,23.987
right,132778131,3342,132778131,3342,140308349,3342,153481167,3342,154808601,7.530,13.173,1.327,22.030
left,175031239,3342,175031239,3342,185889946,3342,199513888,3342,200819585,10.859,13.624,1.306,25.788
front,185079513,3342,185079513,3342,192805393,3342,207789094,3342,209467093,7.726,14.984,1.678,24.388
right,232868270,3342,232868270,3342,240200057,3342,253549743,3342,254721670,7.332,13.350,1.172,21.853
left,275135723,3342,275135723,3342,283141031,3342,296844793,3342,298090149,8.005,13.704,1.245,22.954
front,285860629,3342,285860629,3342,292766733,3342,307938344,3342,309542949,6.906,15.172,1.605,23.682
right,332833624,3342,332833624,3342,341748593,3342,354967714,3342,356164933,8.915,13.219,1.197,23.331
left,375142965,3342,375142965,3342,384962086,3342,398355329,3342,400039778,9.819,13.393,1.684,24.897
front,385733620,3342,385733620,3342,393382083,3342,407812020,3342,409251323,7.648,14.430,1.439,23.518
right,433020379,3342,433020379,3342,438244977,3342,451388267,3342,452684574,5.225,13.143,1.296,19.664
left,475540167,3342,475540167,3342,485267119,3342,498732490,3342,500333183,9.727,13.465,1.601,24.793
front,484417980,3342,484417980,3342,492970221,3342,508479206,3342,510051344,8.552,15.509,1.572,25.633
right,532143806,3342,532143806,3342,537215274,3342,550366549,3342,551577785,5.071,13.151,1.211,19.434
left,575384809,3342,575384809,3342,585925061,3342,599464219,3342,600543599,10.540,13.539,1.079,25.159
front,585996805,3342,585996805,3342,594041901,3342,608819528,3342,610433080,8.045,14.778,1.614,24.436
right,632953298,3342,632953298,3342,639347263,3342,652397856,3342,653412146,6.394,13.051,1.014,20.459
left,675491917,3342,675491917,3342,683649491,3342,696920738,3342,698258237,8.158,13.271,1.337,22.766
front,685994132,3342,685994132,3342,694802398,3342,709668736,3342,711246031,8.808,14.866,1.577,25.252
right,732840707,3342,732840707,3342,738660866,3342,751743390,3342,752931358,5.820,13.083,1.188,20.091
left,775307826,3342,775307826,3342,783854124,3342,797425707,3342,798657276,8.546,13.572,1.232,23.349
front,785817541,3342,785817541,3342,793129556,3342,808472650,3342,809947909,7.312,15.343,1.475,24.130
right,832908581,3342,832908581,3342,838082945,3342,851127080,3342,852321963,5.174,13.044,1.195,19.413
left,875576774,3342,875576774,3342,883671314,3342,897042427,3342,899155119,8.095,13.371,2.113,23.578
front,885786525,3342,885786525,3342,893611224,3342,908777445,3342,910456259,7.825,15.166,1.679,24.670
right,932971958,3342,932971958,3342,938379450,3342,951806653,3342,952978445,5.407,13.427,1.172,20.006
left,975480112,3342,975480112,3342,983579713,3342,996862944,3342,998185302,8.100,13.283,1.322,22.705
front,985496211,3342,985496211,3342,994275478,3343,009156847,3343,010719539,8.779,14.881,1.563,25.223
right,32727707,3343,032727707,3343,038038561,3343,051207390,3343,052335147,5.311,13.169,1.128,19.607
left,75360335,3343,075360335,3343,083752753,3343,096913148,3343,098822068,8.392,13.160,1.909,23.462
front,86025252,3343,086025252,3343,097559163,3343,112416475,3343,114240348,11.534,14.857,1.824,28.215
right,133180539,3343,133180539,3343,139890816,3343,153252438,3343,154376728,6.710,13.362,1.124,21.196
left,175469499,3343,175469499,3343,183548651,3343,196933249,3343,199009123,8.079,13.385,2.076,23.540
