camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,59,336158732,16061,336158732,16061,336158732,16061,365258195,16061,375632829,16061,388794118,0.000,29.099,10.375,13.161,52.635,52.635,,,0,0
front,84,363543728,16061,363543728,16061,363543728,16061,378144543,16061,385668208,16061,409399527,0.000,14.601,7.524,23.731,45.856,45.856,,,0,0
right,35,412279963,16061,412279963,16061,412279963,16061,419452986,16061,426951729,16061,450259346,0.000,7.173,7.499,23.308,37.979,37.979,,,0,0
left,60,436229243,16061,436229243,16061,436229243,16061,448605396,16061,455246974,16061,466700039,0.000,12.376,6.642,11.453,30.471,30.471,,,0,0
front,85,463462054,16061,463462054,16061,463462054,16061,473692978,16061,479710686,16061,491231062,0.000,10.231,6.018,11.520,27.769,27.769,,,0,0
right,36,512243783,16061,512243783,16061,512243783,16061,521458160,16061,527566032,16061,538839658,0.000,9.214,6.108,11.274,26.596,26.596,,,0,0
left,61,536184657,16061,536184657,16061,536184657,16061,545558561,16061,551280635,16061,572986766,0.000,9.374,5.722,21.706,36.802,36.802,,,0,0
front,86,563486591,16061,563486591,16061,563486591,16061,575478990,16061,581274563,16061,592753767,0.000,11.992,5.796,11.479,29.267,29.267,,,0,0
right,37,612252031,16061,612252031,16061,612252031,16061,623769193,16061,629727306,16061,640950701,0.000,11.517,5.958,11.223,28.699,28.699,,,0,0
left,62,636143135,16061,636143135,16061,636143135,16061,645692156,16061,651738066,16061,663063261,0.000,9.549,6.046,11.325,26.920,26.920,,,0,0
