camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
front,51,259254017,15322,259254017,15322,259254017,15322,261502758,15322,267549771,15322,391878045,0.000,2.249,6.047,124.328,132.624,132.624,,,0,0
front,52,358412964,15322,358412964,15322,358412964,15322,360637807,15322,366727981,15322,392630762,0.000,2.225,6.090,25.903,34.218,34.218,,,0,0
left,25,147990891,15322,147990891,15322,147990891,15322,191094320,15322,196944385,15322,392797776,0.000,43.103,5.850,195.853,244.807,244.807,,,0,0
left,26,247987990,15322,247987990,15322,247987990,15322,271404778,15322,277186152,15322,402734817,0.000,23.417,5.781,125.549,154.747,154.747,,,0,0
left,27,348248111,15322,348248111,15322,348248111,15322,360750316,15322,368777900,15322,403005858,0.000,12.502,8.028,34.228,54.758,54.758,,,0,0
left,28,448122014,15322,448122014,15322,448122014,15322,459882396,15322,465614749,15322,476850277,0.000,11.760,5.732,11.236,28.728,28.728,,,0,0
front,53,458979172,15322,458979172,15322,458979172,15322,481258711,15322,486876606,15322,509251436,0.000,22.280,5.618,22.375,50.272,50.272,,,0,0
left,29,548118343,15322,548118343,15322,548118343,15322,560305620,15322,566201817,15322,588921820,0.000,12.187,5.896,22.720,40.803,40.803,,,0,0
front,54,559328852,15322,559328852,15322,559328852,15322,603494113,15322,609044944,15322,631605681,0.000,44.165,5.551,22.561,72.277,72.277,,,0,0
right,0,614379552,15322,614379552,15322,614379552,15322,626892071,15322,635454453,15322,669791957,0.000,12.513,8.562,34.338,55.412,55.412,,,0,0
front,55,659691166,15322,659691166,15322,659691166,15322,660876421,15322,666576385,15322,677741312,0.000,1.185,5.700,11.165,18.050,18.050,,,0,0
left,30,648218954,15322,648218954,15322,648218954,15322,649655343,15322,655484538,15322,688262987,0.000,1.436,5.829,32.778,40.044,40.044,,,0,0
right,1,714351280,15322,714351280,15322,714351280,15322,716031533,15322,722166456,15322,733972251,0.000,1.680,6.135,11.806,19.621,19.621,,,0,0
left,31,748196801,15322,748196801,15322,748196801,15322,750024387,15322,755661073,15322,777742352,0.000,1.828,5.637,22.081,29.546,29.546,,,0,0
front,56,759276605,15322,759276605,15322,759276605,15322,781748648,15322,787358516,15322,809304216,0.000,22.472,5.610,21.946,50.028,50.028,,,0,0
right,2,814364287,15322,814364287,15322,814364287,15322,826112044,15322,832447831,15322,843570516,0.000,11.748,6.336,11.123,29.206,29.206,,,0,0
left,32,848311032,15322,848311032,15322,848311032,15322,850480235,15322,856166593,15322,888624230,0.000,2.169,5.686,32.458,40.313,40.313,,,0,0
front,57,858891506,15322,858891506,15322,858891506,15322,870851210,15322,876552962,15322,898649156,0.000,11.960,5.702,22.096,39.758,39.758,,,0,0
right,3,914370797,15322,914370797,15322,914370797,15322,916323281,15322,922869987,15322,944918664,0.000,1.952,6.547,22.049,30.548,30.548,,,0,0
front,58,959390830,15322,959390830,15322,959390830,15322,981481537,15322,987179306,15323,009053465,0.000,22.091,5.698,21.874,49.663,49.663,,,0,0
right,4,14391984,15323,014391984,15323,014391984,15323,015732670,15323,021791702,15323,054607855,0.000,1.341,6.059,32.816,40.216,40.216,,,0,0
front,59,59442319,15323,059442319,15323,059442319,15323,071419245,15323,077108194,15323,088240342,0.000,11.977,5.689,11.132,28.798,28.798,,,0,0
left,34,48192923,15323,048192923,15323,048192923,15323,061537353,15323,067180827,15323,088723039,0.000,13.344,5.643,21.542,40.530,40.530,,,1,1
right,5,114361213,15323,114361213,15323,114361213,15323,126550247,15323,132729531,15323,143994249,0.000,12.189,6.179,11.265,29.633,29.633,,,0,0
left,35,148241281,15323,148241281,15323,148241281,15323,160567507,15323,166198523,15323,188714830,0.000,12.326,5.631,22.516,40.474,40.474,,,0,1
front,60,159388702,15323,159388702,15323,159388702,15323,182576125,15323,188142847,15323,199458837,0.000,23.187,5.567,11.316,40.070,40.070,,,0,0
right,6,214382599,15323,214382599,15323,214382599,15323,226218593,15323,232464146,15323,244141351,0.000,11.836,6.246,11.677,29.759,29.759,,,0,0
left,36,248339205,15323,248339205,15323,248339205,15323,250575265,15323,256336568,15323,267846225,0.000,2.236,5.761,11.510,19.507,19.507,,,0,1
front,61,259474326,15323,259474326,15323,259474326,15323,260481678,15323,266094646,15323,277232311,0.000,1.007,5.613,11.138,17.758,17.758,,,0,0
right,7,314349016,15323,314349016,15323,314349016,15323,315837117,15323,321790218,15323,333601384,0.000,1.488,5.953,11.811,19.252,19.252,,,0,0
front,62,359214450,15323,359214450,15323,359214450,15323,371887055,15323,377709833,15323,399491090,0.000,12.673,5.823,21.781,40.277,40.277,,,0,0
left,37,348220203,15323,348220203,15323,348220203,15323,360210802,15323,366033110,15323,410300479,0.000,11.991,5.822,44.267,62.080,62.080,,,0,1
right,8,414385349,15323,414385349,15323,414385349,15323,426200756,15323,432331365,15323,454817130,0.000,11.815,6.131,22.486,40.432,40.432,,,0,0
left,38,448258207,15323,448258207,15323,448258207,15323,460219067,15323,465909753,15323,477396098,0.000,11.961,5.691,11.486,29.138,29.138,,,0,1
front,63,459328872,15323,459328872,15323,459328872,15323,471172000,15323,476685511,15323,477673362,0.000,11.843,5.514,0.988,18.344,18.344,,,0,0
right,9,514390599,15323,514390599,15323,514390599,15323,526636768,15323,532769950,15323,554852425,0.000,12.246,6.133,22.082,40.462,40.462,,,0,0
left,39,548515852,15323,548515852,15323,548515852,15323,560793597,15323,566528412,15323,577584501,0.000,12.278,5.735,11.056,29.069,29.069,,,0,1
front,64,559372388,15323,559372388,15323,559372388,15323,571294847,15323,577691154,15323,578647895,0.000,11.922,6.396,0.957,19.276,19.276,,,0,0
right,10,614398250,15323,614398250,15323,614398250,15323,626797155,15323,632486087,15323,655125758,0.000,12.399,5.689,22.640,40.728,40.728,,,0,0
left,40,648632750,15323,648632750,15323,648632750,15323,649990121,15323,655934111,15323,656666738,0.000,1.357,5.944,0.733,8.034,8.034,,,0,1
