camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,881470961,196926,881470961,196926,881470961,196926,894860710,196926,906908162,196926,910762703,0.000,13.390,12.047,3.855,29.292,29.292,,,0,0
front,0,901871071,196926,901871071,196926,901871071,196926,913119086,196926,923783518,196926,927173798,0.000,11.248,10.664,3.390,25.303,25.303,,,0,0
right,0,916041227,196926,916041227,196926,916041227,196926,922451505,196926,932719958,196926,934530379,0.000,6.410,10.268,1.810,18.489,18.489,,,0,0
left,0,981641384,196926,981641384,196926,981641384,196926,990130023,196926,996888112,196926,998566342,0.000,8.489,6.758,1.678,16.925,16.925,,,0,0
front,0,999763903,196926,999763903,196926,999763903,196927,006163347,196927,013080209,196927,014324868,0.000,6.399,6.917,1.245,14.561,14.561,,,0,0
right,0,10727118,196927,010727118,196927,010727118,196927,019452236,196927,025767131,196927,026800495,0.000,8.725,6.315,1.033,16.073,16.073,,,0,0
left,0,75372651,196927,075372651,196927,075372651,196927,084848463,196927,091518907,196927,092770805,0.000,9.476,6.670,1.252,17.398,17.398,,,0,0
front,0,91896570,196927,091896570,196927,091896570,196927,098572723,196927,105704174,196927,107805568,0.000,6.676,7.131,2.101,15.909,15.909,,,0,0
right,0,105590579,196927,105590579,196927,105590579,196927,115585869,196927,122136356,196927,123381244,0.000,9.995,6.550,1.245,17.791,17.791,,,0,0
left,0,182062891,196927,182062891,196927,182062891,196927,192958823,196927,199963026,196927,201281154,0.000,10.896,7.004,1.318,19.218,19.218,,,0,0
front,0,200636723,196927,200636723,196927,200636723,196927,207190045,196927,214911853,196927,216220880,0.000,6.553,7.722,1.309,15.584,15.584,,,0,0
right,0,211505370,196927,211505370,196927,211505370,196927,217981010,196927,224330749,196927,225428813,0.000,6.476,6.350,1.098,13.923,13.923,,,0,0
left,0,281972629,196927,281972629,196927,281972629,196927,290659986,196927,297366203,196927,298448816,0.000,8.687,6.706,1.083,16.476,16.476,,,0,0
front,0,299096978,196927,299096978,196927,299096978,196927,305531827,196927,312323374,196927,314318625,0.000,6.435,6.792,1.995,15.222,15.222,,,0,0
right,0,309971284,196927,309971284,196927,309971284,196927,316550322,196927,323028310,196927,324065201,0.000,6.579,6.478,1.037,14.094,14.094,,,0,0
left,0,375602577,196927,375602577,196927,375602577,196927,384628929,196927,391397293,196927,392551723,0.000,9.026,6.768,1.154,16.949,16.949,,,0,0
front,0,389255172,196927,389255172,196927,389255172,196927,399447021,196927,406141776,196927,407508183,0.000,10.192,6.695,1.366,18.253,18.253,,,0,0
right,0,401460751,196927,401460751,196927,401460751,196927,408292630,196927,414667394,196927,415797007,0.000,6.832,6.375,1.130,14.336,14.336,,,0,0
left,0,481733179,196927,481733179,196927,481733179,196927,489747143,196927,496414648,196927,497628467,0.000,8.014,6.668,1.214,15.895,15.895,,,0,0
front,0,494960661,196927,494960661,196927,494960661,196927,501385979,196927,508032979,196927,509205143,0.000,6.425,6.647,1.172,14.244,14.244,,,0,0
right,0,506642636,196927,506642636,196927,506642636,196927,513206810,196927,519724260,196927,520963690,0.000,6.564,6.517,1.239,14.321,14.321,,,0,0
left,0,582004302,196927,582004302,196927,582004302,196927,591430426,196927,597848272,196927,599241527,0.000,9.426,6.418,1.393,17.237,17.237,,,0,0
front,0,600245539,196927,600245539,196927,600245539,196927,606455148,196927,612961247,196927,614586640,0.000,6.210,6.506,1.625,14.341,14.341,,,0,0
right,0,610737945,196927,610737945,196927,610737945,196927,616602174,196927,623144977,196927,624183413,0.000,5.864,6.543,1.038,13.445,13.445,,,0,0
left,0,675595381,196927,675595381,196927,675595381,196927,684638433,196927,691413870,196927,693055415,0.000,9.043,6.775,1.642,17.460,17.460,,,0,0
front,0,689119879,196927,689119879,196927,689119879,196927,695101522,196927,701567074,196927,702761571,0.000,5.982,6.466,1.194,13.642,13.642,,,0,0
right,0,701798242,196927,701798242,196927,701798242,196927,708193422,196927,714687619,196927,715753512,0.000,6.395,6.494,1.066,13.955,13.955,,,0,0
left,0,781553484,196927,781553484,196927,781553484,196927,790134837,196927,797241604,196927,798468474,0.000,8.581,7.107,1.227,16.915,16.915,,,0,0
front,0,800340104,196927,800340104,196927,800340104,196927,806501703,196927,813283894,196927,814558382,0.000,6.162,6.782,1.274,14.218,14.218,,,0,0
right,0,810754798,196927,810754798,196927,810754798,196927,817337487,196927,823701384,196927,824754799,0.000,6.583,6.364,1.053,14.000,14.000,,,0,0
left,0,881953199,196927,881953199,196927,881953199,196927,889752137,196927,896495026,196927,897592951,0.000,7.799,6.743,1.098,15.640,15.640,,,0,0
front,0,898035879,196927,898035879,196927,898035879,196927,903287909,196927,910551651,196927,912502816,0.000,5.252,7.264,1.951,14.467,14.467,,,0,0
right,0,908976836,196927,908976836,196927,908976836,196927,914327759,196927,921334276,196927,923461690,0.000,5.351,7.007,2.127,14.485,14.485,,,0,0
left,0,980215684,196927,980215684,196927,980215684,196927,986727523,196927,993595982,196927,994849235,0.000,6.512,6.868,1.253,14.634,14.634,,,0,0
front,0,996695118,196927,996695118,196927,996695118,196928,000537174,196928,007970109,196928,009339787,0.000,3.842,7.433,1.370,12.645,12.645,,,0,0
