camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
front,0,584472348,193407,584472348,193407,584472348,193407,596185867,193407,610013180,193407,614767334,0.000,11.714,13.827,4.754,30.295,30.295,,,0,0
right,0,597239141,193407,597239141,193407,597239141,193407,607187189,193407,617837097,193407,621195643,0.000,9.948,10.650,3.359,23.957,23.957,,,0,0
left,0,570552673,193407,570552673,193407,570552673,193407,681025952,193407,691655457,193407,695027350,0.000,110.473,10.630,3.372,124.475,124.475,,,0,0
left,0,677651100,193407,677651100,193407,677651100,193407,688074458,193407,699485850,193407,700849938,0.000,10.423,11.411,1.364,23.199,23.199,,,0,0
front,0,691581275,193407,691581275,193407,691581275,193407,699027970,193407,706385171,193407,707572415,0.000,7.447,7.357,1.187,15.991,15.991,,,0,0
right,0,704246341,193407,704246341,193407,704246341,193407,710039665,193407,716367920,193407,717570303,0.000,5.793,6.328,1.202,13.324,13.324,,,0,0
left,0,775879023,193407,775879023,193407,775879023,193407,784169519,193407,790652157,193407,792612140,0.000,8.290,6.483,1.960,16.733,16.733,,,0,0
front,0,792641940,193407,792641940,193407,792641940,193407,798504164,193407,805290951,193407,806992481,0.000,5.862,6.787,1.702,14.351,14.351,,,0,0
right,0,806902535,193407,806902535,193407,806902535,193407,813444833,193407,819991211,193407,821222180,0.000,6.542,6.546,1.231,14.320,14.320,,,0,0
left,0,877584156,193407,877584156,193407,877584156,193407,885493972,193407,892274069,193407,893559875,0.000,7.910,6.780,1.286,15.976,15.976,,,0,0
front,0,892863475,193407,892863475,193407,892863475,193407,898487337,193407,905007814,193407,906630057,0.000,5.624,6.520,1.622,13.767,13.767,,,0,0
right,0,905722614,193407,905722614,193407,905722614,193407,911041461,193407,917530745,193407,918629460,0.000,5.319,6.489,1.099,12.907,12.907,,,0,0
left,0,971681563,193407,971681563,193407,971681563,193407,980297246,193407,987126130,193407,988406510,0.000,8.616,6.829,1.280,16.725,16.725,,,0,0
front,0,987137088,193407,987137088,193407,987137088,193407,993344627,193407,999998053,193408,001811869,0.000,6.208,6.653,1.814,14.675,14.675,,,0,0
right,0,997916657,193407,997916657,193407,997916657,193408,005199884,193408,011958790,193408,014146901,0.000,7.283,6.759,2.188,16.230,16.230,,,0,0
left,0,75299775,193408,075299775,193408,075299775,193408,084517341,193408,091118198,193408,092231933,0.000,9.218,6.601,1.114,16.932,16.932,,,0,0
front,0,94955203,193408,094955203,193408,094955203,193408,102336534,193408,109198995,193408,110510010,0.000,7.381,6.862,1.311,15.555,15.555,,,0,0
right,0,107527187,193408,107527187,193408,107527187,193408,114753931,193408,122400043,193408,123768900,0.000,7.227,7.646,1.369,16.242,16.242,,,0,0
left,0,177457148,193408,177457148,193408,177457148,193408,186014554,193408,192530826,193408,193694049,0.000,8.557,6.516,1.163,16.237,16.237,,,0,0
front,0,195633946,193408,195633946,193408,195633946,193408,201927710,193408,208431054,193408,209783351,0.000,6.294,6.503,1.352,14.149,14.149,,,0,0
right,0,208725158,193408,208725158,193408,208725158,193408,213827870,193408,220569154,193408,221709380,0.000,5.103,6.741,1.140,12.984,12.984,,,0,0
left,0,277525545,193408,277525545,193408,277525545,193408,285410224,193408,291972262,193408,293383004,0.000,7.885,6.562,1.411,15.857,15.857,,,0,0
front,0,292919542,193408,292919542,193408,292919542,193408,298485695,193408,305071882,193408,306273981,0.000,5.566,6.586,1.202,13.354,13.354,,,0,0
right,0,308219651,193408,308219651,193408,308219651,193408,313482822,193408,320066924,193408,321121488,0.000,5.263,6.584,1.055,12.902,12.902,,,0,0
left,0,371692618,193408,371692618,193408,371692618,193408,380676780,193408,387465147,193408,389556781,0.000,8.984,6.788,2.092,17.864,17.864,,,0,0
front,0,388418764,193408,388418764,193408,388418764,193408,395008799,193408,401714040,193408,402905773,0.000,6.590,6.705,1.192,14.487,14.487,,,0,0
right,0,399942696,193408,399942696,193408,399942696,193408,406701946,193408,413344620,193408,414618470,0.000,6.759,6.643,1.274,14.676,14.676,,,0,0
left,0,477426564,193408,477426564,193408,477426564,193408,485857954,193408,493110633,193408,494514677,0.000,8.431,7.253,1.404,17.088,17.088,,,0,0
front,0,491359762,193408,491359762,193408,491359762,193408,499144512,193408,505803293,193408,507029157,0.000,7.785,6.659,1.226,15.669,15.669,,,0,0
right,0,503864118,193408,503864118,193408,503864118,193408,511182218,193408,517923989,193408,520335742,0.000,7.318,6.742,2.412,16.472,16.472,,,0,0
left,0,577982189,193408,577982189,193408,577982189,193408,587086330,193408,594289055,193408,595711199,0.000,9.104,7.203,1.422,17.729,17.729,,,0,0
front,0,592238076,193408,592238076,193408,592238076,193408,599247447,193408,605637504,193408,607309082,0.000,7.009,6.390,1.672,15.071,15.071,,,0,0
right,0,603717845,193408,603717845,193408,603717845,193408,611078498,193408,617731709,193408,619434333,0.000,7.361,6.653,1.703,15.716,15.716,,,0,0
left,0,672249302,193408,672249302,193408,672249302,193408,678926819,193408,685887732,193408,687344450,0.000,6.678,6.961,1.457,15.095,15.095,,,0,0
front,0,691102946,193408,691102946,193408,691102946,193408,696700598,193408,703255070,193408,704718704,0.000,5.598,6.554,1.464,13.616,13.616,,,0,0
right,0,704334567,193408,704334567,193408,704334567,193408,709201647,193408,715822882,193408,717251062,0.000,4.867,6.621,1.428,12.916,12.916,,,0,0
left,0,778100324,193408,778100324,193408,778100324,193408,784694757,193408,791465801,193408,792741548,0.000,6.594,6.771,1.276,14.641,14.641,,,0,0
front,0,793417156,193408,793417156,193408,793417156,193408,799287951,193408,805734538,193408,808171684,0.000,5.871,6.447,2.437,14.755,14.755,,,0,0
right,0,803757573,193408,803757573,193408,803757573,193408,809096685,193408,815795640,193408,817909656,0.000,5.339,6.699,2.114,14.152,14.152,,,0,0
