camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,548013021,198653,548013021,198653,578792734,198653,609587298,198653,639782495,198653,656210035,30.780,30.795,30.195,16.428,77.417,108.197,,,0,0
front,0,568610824,198653,568610824,198653,591385729,198653,609587298,198653,643355112,198653,658679680,22.775,18.202,33.768,15.325,67.294,90.069,,,0,0
right,0,588516405,198653,588516405,198653,609303263,198653,609587298,198653,646475897,198653,661170222,20.787,0.284,36.889,14.694,51.867,72.654,20.598,40.503,0,0
front,0,669401983,198653,669401983,198653,689973960,198653,710913176,198653,734047776,198653,746579382,20.572,20.939,23.135,12.532,56.605,77.177,,,0,0
right,0,685816869,198653,685816869,198653,710837727,198653,710913176,198653,735545236,198653,748053490,25.021,0.075,24.632,12.508,37.216,62.237,,,0,0
left,0,650567625,198653,650567625,198653,673939063,198653,710913176,198653,731700736,198653,755026467,23.371,36.974,20.788,23.326,81.087,104.459,18.834,35.249,0,0
front,0,768281340,198653,768281340,198653,789963131,198653,807842507,198653,832818580,198653,835281525,21.682,17.879,24.976,2.463,45.318,67.000,,,0,0
right,0,788026159,198653,788026159,198653,807687228,198653,807842507,198653,835152477,198653,837446071,19.661,0.155,27.310,2.294,29.759,49.420,,,0,0
left,0,748646750,198653,748646750,198653,772872517,198653,807842507,198653,829655048,198653,842978338,24.226,34.970,21.813,13.323,70.106,94.332,19.635,39.379,0,0
front,0,872317250,198653,872317250,198653,899468540,198653,908799948,198653,931974972,198653,934041889,27.151,9.331,23.175,2.067,34.573,61.725,,,0,0
left,0,856528453,198653,856528453,198653,882216290,198653,908799948,198653,929621814,198653,942777400,25.688,26.584,20.822,13.156,60.561,86.249,,,0,0
right,0,887358260,198653,887358260,198653,908518640,198653,908799948,198653,933682681,198653,946325496,21.160,0.281,24.883,12.643,37.807,58.967,15.789,30.830,0,0
right,0,983493306,198653,983493306,198654,003338050,198654,003686395,198654,029834763,198654,031577415,19.845,0.348,26.148,1.743,28.239,48.084,,,0,0
left,0,950577865,198653,950577865,198653,972342344,198654,003686395,198654,024941061,198654,038515481,21.764,31.344,21.255,13.574,66.173,87.938,,,0,0
front,0,967265351,198653,967265351,198653,995159967,198654,003686395,198654,028030992,198654,040026591,27.895,8.526,24.345,11.996,44.867,72.761,16.687,32.915,0,0
left,0,54773831,198654,054773831,198654,086916378,198654,109581898,198654,127373139,198654,139578890,32.143,22.666,17.791,12.206,52.663,84.805,,,0,0
front,0,73321274,198654,073321274,198654,095315556,198654,109581898,198654,129392905,198654,152347039,21.994,14.266,19.811,22.954,57.031,79.026,,,0,0
right,0,90649065,198654,090649065,198654,109247596,198654,109581898,198654,131087950,198654,153385427,18.599,0.334,21.506,22.297,44.138,62.736,18.547,35.875,0,0
front,0,167562993,198654,167562993,198654,194302625,198654,204159434,198654,223716890,198654,226113633,26.740,9.857,19.557,2.397,31.811,58.551,,,0,0
right,0,184299467,198654,184299467,198654,203371952,198654,204159434,198654,226070059,198654,228838283,19.072,0.787,21.911,2.768,25.466,44.539,,,0,0
left,0,148640838,198654,148640838,198654,170662993,198654,204159434,198654,222575647,198654,234685919,22.022,33.496,18.416,12.110,64.023,86.045,18.922,35.659,0,0
left,0,252547466,198654,252547466,198654,267732576,198654,305247949,198654,324651984,198654,326291247,15.185,37.515,19.404,1.639,58.559,73.744,,,0,0
right,0,285351680,198654,285351680,198654,305037313,198654,305247949,198654,327120369,198654,328575611,19.686,0.211,21.872,1.455,23.538,43.224,,,0,0
front,0,269723047,198654,269723047,198654,297335392,198654,305247949,198654,325969486,198654,337890552,27.612,7.913,20.722,11.921,40.555,68.168,17.176,32.804,0,0
front,0,368247231,198654,368247231,198654,384580267,198654,399610838,198654,421585735,198654,422920223,16.333,15.031,21.975,1.334,38.340,54.673,,,0,0
right,0,384670757,198654,384670757,198654,399527422,198654,399610838,198654,422814356,198654,424115212,14.857,0.083,23.204,1.301,24.588,39.444,,,0,0
left,0,350102418,198654,350102418,198654,366038592,198654,399610838,198654,418227137,198654,431678577,15.936,33.572,18.616,13.451,65.640,81.576,18.145,34.568,0,0
left,0,448722285,198654,448722285,198654,464102111,198654,500063449,198654,516784678,198654,528940741,15.380,35.961,16.721,12.156,64.839,80.218,,,0,0
front,0,467136053,198654,467136053,198654,483372497,198654,500063449,198654,517852648,198654,529924939,16.236,16.691,17.789,12.072,46.552,62.789,,,0,0
right,0,483668614,198654,483668614,198654,499881910,198654,500063449,198654,519627043,198654,541740276,16.213,0.182,19.564,22.113,41.858,58.072,18.414,34.946,0,0
front,0,567858397,198654,567858397,198654,581121820,198654,593581609,198654,611829494,198654,623335447,13.263,12.460,18.248,11.506,42.214,55.477,,,0,0
right,0,581143898,198654,581143898,198654,593399225,198654,593581609,198654,612827576,198654,624202710,12.255,0.182,19.246,11.375,30.803,43.059,,,0,0
left,0,548348112,198654,548348112,198654,562193839,198654,593581609,198654,610773452,198654,632623156,13.846,31.388,17.192,21.850,70.429,84.275,19.510,32.796,0,0
front,0,668462253,198654,668462253,198654,687925839,198654,703998182,198654,721542361,198654,743285043,19.464,16.072,17.544,21.743,55.359,74.823,,,0,0
right,0,683954563,198654,683954563,198654,703779838,198654,703998182,198654,722563035,198654,744509872,19.825,0.218,18.565,21.947,40.730,60.555,,,0,0
left,0,651879347,198654,651879347,198654,678531325,198654,703998182,198654,720479418,198654,753105867,26.652,25.467,16.481,32.626,74.575,101.227,16.583,32.075,0,0
front,0,762860197,198654,762860197,198654,782709475,198654,789846691,198654,807864086,198654,809027364,19.849,7.137,18.017,1.163,26.318,46.167,,,0,0
