camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,358727712,197254,358727712,197254,377413756,197254,403465835,197254,432916107,197254,437809833,18.686,26.052,29.450,4.894,60.396,79.082,,,0,0
front,0,375012052,197254,375012052,197254,393079177,197254,403465835,197254,435664806,197254,439887111,18.067,10.387,32.199,4.222,46.808,64.875,,,0,0
right,0,388190693,197254,388190693,197254,403236620,197254,403465835,197254,438445677,197254,441272180,15.046,0.229,34.980,2.827,38.036,53.081,16.284,29.463,0,0
left,0,461407726,197254,461407726,197254,484410292,197254,511945589,197254,530418559,197254,534734044,23.003,27.535,18.473,4.315,50.324,73.326,,,0,0
front,0,475319155,197254,475319155,197254,491656253,197254,511945589,197254,533431770,197254,536177169,16.337,20.289,21.486,2.745,44.521,60.858,,,0,0
right,0,488075856,197254,488075856,197254,510961331,197254,511945589,197254,536020597,197254,537342756,22.885,0.984,24.075,1.322,26.381,49.267,13.911,26.668,0,0
left,0,560441317,197254,560441317,197254,578904631,197254,605917919,197254,622105419,197254,623713536,18.463,27.013,16.188,1.608,44.809,63.272,,,0,0
front,0,575213287,197254,575213287,197254,596524718,197254,605917919,197254,623500763,197254,625098109,21.311,9.393,17.583,1.597,28.573,49.885,,,0,0
right,0,588194346,197254,588194346,197254,605276071,197254,605917919,197254,624727758,197254,627016149,17.082,0.642,18.810,2.288,21.740,38.822,14.772,27.753,0,0
left,0,661798964,197254,661798964,197254,684380765,197254,705046180,197254,721457437,197254,723572856,22.582,20.665,16.411,2.115,39.192,61.774,,,0,0
front,0,675223043,197254,675223043,197254,695352038,197254,705046180,197254,723319260,197254,725361956,20.129,9.694,18.273,2.043,30.010,50.139,,,0,0
right,0,687669633,197254,687669633,197254,704327360,197254,705046180,197254,724614409,197254,726705439,16.658,0.719,19.568,2.091,22.378,39.036,13.424,25.871,0,0
left,0,764143886,197254,764143886,197254,781262708,197254,826887123,197254,843234507,197254,845350204,17.119,45.624,16.347,2.116,64.087,81.206,,,0,0
front,0,785174716,197254,785174716,197254,806915664,197254,826887123,197254,845475445,197254,847551147,21.741,19.971,18.588,2.076,40.635,62.376,,,0,0
right,0,804747211,197254,804747211,197254,826310983,197254,826887123,197254,847439974,197254,849074683,21.564,0.576,20.553,1.635,22.764,44.327,21.031,40.603,0,0
left,0,860465238,197254,860465238,197254,884551993,197254,910110034,197254,926585483,197254,928770706,24.087,25.558,16.475,2.185,44.219,68.305,,,0,0
front,0,874045118,197254,874045118,197254,889986450,197254,910110034,197254,928484832,197254,929863221,15.941,20.124,18.375,1.378,39.877,55.818,,,0,0
right,0,886986146,197254,886986146,197254,909373039,197254,910110034,197254,929642336,197254,930955365,22.387,0.737,19.532,1.313,21.582,43.969,13.580,26.521,0,0
left,0,957768579,197254,957768579,197254,981339799,197255,008185607,197255,024674893,197255,026399282,23.571,26.846,16.489,1.724,45.059,68.631,,,0,0
front,0,971880464,197254,971880464,197254,993988648,197255,008185607,197255,026136508,197255,027317666,22.108,14.197,17.951,1.181,33.329,55.437,,,0,0
right,0,984821968,197254,984821968,197255,007580153,197255,008185607,197255,027130231,197255,028360599,22.758,0.605,18.945,1.230,20.780,43.539,14.112,27.053,0,0
left,0,63668635,197255,063668635,197255,086071588,197255,106953139,197255,123581962,197255,125976364,22.403,20.882,16.629,2.394,39.905,62.308,,,0,0
front,0,77755666,197255,077755666,197255,094710314,197255,106953139,197255,125179343,197255,126675249,16.955,12.243,18.226,1.496,31.965,48.920,,,0,0
right,0,90686854,197255,090686854,197255,106261219,197255,106953139,197255,126774745,197255,127905414,15.574,0.692,19.822,1.131,21.644,37.219,14.087,27.018,0,0
left,0,159206120,197255,159206120,197255,181493650,197255,201974465,197255,219246797,197255,221418209,22.288,20.481,17.272,2.171,39.925,62.212,,,0,0
front,0,172689131,197255,172689131,197255,192745447,197255,201974465,197255,221265127,197255,222743123,20.056,9.229,19.291,1.478,29.998,50.054,,,0,0
right,0,185976575,197255,185976575,197255,201292286,197255,201974465,197255,222766562,197255,223989492,15.316,0.682,20.792,1.223,22.697,38.013,13.483,26.770,0,0
left,0,257660968,197255,257660968,197255,274145115,197255,307039972,197255,324533626,197255,326259744,16.484,32.895,17.494,1.726,52.115,68.599,,,0,0
front,0,271968746,197255,271968746,197255,288139517,197255,307039972,197255,326034549,197255,327228932,16.171,18.900,18.995,1.194,39.089,55.260,,,0,0
right,0,285565339,197255,285565339,197255,306230726,197255,307039972,197255,327249775,197255,328762027,20.665,0.809,20.210,1.512,22.531,43.197,14.308,27.904,0,0
left,0,363776690,197255,363776690,197255,387259932,197255,409249521,197255,426102146,197255,427968657,23.483,21.990,16.853,1.867,40.709,64.192,,,0,0
front,0,380277661,197255,380277661,197255,403469304,197255,409249521,197255,427794550,197255,429272368,23.192,5.780,18.545,1.478,25.803,48.995,,,0,0
right,0,393080823,197255,393080823,197255,408548059,197255,409249521,197255,429254046,197255,430828344,15.467,0.701,20.005,1.574,22.280,37.748,16.501,29.304,0,0
left,0,462741408,197255,462741408,197255,481654850,197255,506948334,197255,523543328,197255,525240209,18.913,25.293,16.595,1.697,43.585,62.499,,,0,0
front,0,477014905,197255,477014905,197255,496186931,197255,506948334,197255,524973775,197255,526668125,19.172,10.761,18.025,1.694,30.481,49.653,,,0,0
right,0,489449423,197255,489449423,197255,506204138,197255,506948334,197255,526517981,197255,527943600,16.755,0.744,19.570,1.426,21.739,38.494,14.273,26.708,0,0
left,0,556729953,197255,556729953,197255,575999774,197255,604889768,197255,621774297,197255,623492360,19.270,28.890,16.885,1.718,47.493,66.762,,,0,0
front,0,571166592,197255,571166592,197255,595415272,197255,604889768,197255,623169337,197255,624764111,24.249,9.474,18.280,1.595,29.349,53.598,,,0,0
right,0,588386270,197255,588386270,197255,603864507,197255,604889768,197255,624665803,197255,626114337,15.478,1.025,19.776,1.449,22.250,37.728,14.437,31.656,0,0
left,0,659826093,197255,659826093,197255,678557229,197255,698243359,197255,715238375,197255,717303924,18.731,19.686,16.995,2.066,38.747,57.478,,,0,0
front,0,674045428,197255,674045428,197255,689769801,197255,698243359,197255,716782363,197255,718069109,15.724,8.474,18.539,1.287,28.299,44.024,,,0,0
right,0,686585333,197255,686585333,197255,697584423,197255,698243359,197255,718126758,197255,719479335,10.999,0.659,19.883,1.353,21.895,32.894,14.219,26.759,0,0
left,0,761544055,197255,761544055,197255,780171684,197255,809175180,197255,826422615,197255,828219451,18.628,29.003,17.247,1.797,48.048,66.675,,,0,0
front,0,775277515,197255,775277515,197255,793018054,197255,809175180,197255,827747624,197255,829227342,17.741,16.157,18.572,1.480,36.209,53.950,,,0,0
right,0,787321030,197255,787321030,197255,809020736,197255,809175180,197255,829288846,197255,830478300,21.700,0.154,20.114,1.189,21.458,43.157,13.733,25.777,0,0
left,0,863971061,197255,863971061,197255,880811900,197255,907126171,197255,923580653,197255,925436034,16.841,26.314,16.454,1.855,44.624,61.465,,,0,0
front,0,878571268,197255,878571268,197255,896104821,197255,907126171,197255,925005136,197255,926463312,17.534,11.021,17.879,1.458,30.358,47.892,,,0,0
right,0,891199611,197255,891199611,197255,906519659,197255,907126171,197255,926568935,197255,928074471,15.320,0.607,19.443,1.506,21.555,36.875,14.600,27.229,0,0
left,0,963153709,197255,963153709,197255,981748874,197256,005589522,197256,022035178,197256,024026332,18.595,23.841,16.446,1.991,42.277,60.873,,,0,0
front,0,977096589,197255,977096589,197255,998680181,197256,005589522,197256,023429936,197256,025212066,21.584,6.909,17.840,1.782,26.532,48.115,,,0,0
right,0,989538256,197255,989538256,197256,004926906,197256,005589522,197256,025224604,197256,026570943,15.389,0.663,19.635,1.346,21.644,37.033,13.943,26.385,0,0
left,0,63747800,197256,063747800,197256,087666457,197256,115330717,197256,132517831,197256,133986943,23.919,27.664,17.187,1.469,46.320,70.239,,,0,0
front,0,78927244,197256,078927244,197256,097967858,197256,115330717,197256,133815544,197256,135069415,19.041,17.363,18.485,1.254,37.102,56.142,,,0,0
right,0,92026657,197256,092026657,197256,114442417,197256,115330717,197256,135012969,197256,136245381,22.416,0.888,19.682,1.232,21.803,44.219,15.179,28.279,0,0
left,0,157809957,197256,157809957,197256,179618842,197256,200836915,197256,217709819,197256,219087245,21.809,21.218,16.873,1.377,39.468,61.277,,,0,0
front,0,171918787,197256,171918787,197256,194362065,197256,200836915,197256,218888273,197256,220122389,22.443,6.475,18.051,1.234,25.760,48.204,,,0,0
right,0,184858016,197256,184858016,197256,200095815,197256,200836915,197256,219993741,197256,221183827,15.238,0.741,19.157,1.190,21.088,36.326,14.109,27.048,0,0
left,0,257265878,197256,257265878,197256,273579298,197256,305229798,197256,321516551,197256,323575071,16.313,31.651,16.287,2.059,49.996,66.309,,,0,0
front,0,276696467,197256,276696467,197256,291415013,197256,305229798,197256,322757989,197256,323887014,14.719,13.815,17.528,1.129,32.472,47.191,,,0,0
right,0,289184210,197256,289184210,197256,304436552,197256,305229798,197256,323668554,197256,325091234,15.252,0.793,18.439,1.423,20.655,35.907,19.431,31.918,0,0
left,0,361695180,197256,361695180,197256,384088341,197256,424324278,197256,441141997,197256,443158178,22.393,40.236,16.818,2.016,59.070,81.463,,,0,0
front,0,382404624,197256,382404624,197256,405495399,197256,424324278,197256,442526170,197256,444182159,23.091,18.829,18.202,1.656,38.687,61.778,,,0,0
right,0,402642082,197256,402642082,197256,423706628,197256,424324278,197256,443780316,197256,444822928,21.065,0.618,19.456,1.043,21.116,42.181,20.709,40.947,0,0
left,0,463951626,197256,463951626,197256,480089658,197256,514451827,197256,531033173,197256,532728640,16.138,34.362,16.581,1.695,52.639,68.777,,,0,0
front,0,485550667,197256,485550667,197256,507635086,197256,514451827,197256,532641594,197256,534119037,22.084,6.817,18.190,1.477,26.484,48.568,,,0,0
right,0,498573376,197256,498573376,197256,513660073,197256,514451827,197256,533711408,197256,535338940,15.087,0.792,19.260,1.628,21.679,36.766,21.599,34.622,0,0
left,0,560136801,197256,560136801,197256,583354972,197256,604555942,197256,621190820,197256,622883166,23.218,21.201,16.635,1.692,39.528,62.746,,,0,0
front,0,574288764,197256,574288764,197256,596689611,197256,604555942,197256,622715766,197256,624089579,22.401,7.866,18.160,1.374,27.400,49.801,,,0,0
right,0,587751129,197256,587751129,197256,603851718,197256,604555942,197256,623905405,197256,625088054,16.101,0.704,19.349,1.183,21.236,37.337,14.152,27.614,0,0
left,0,659124257,197256,659124257,197256,681661375,197256,717497560,197256,733705090,197256,735431240,22.537,35.836,16.208,1.726,53.770,76.307,,,0,0
front,0,679745980,197256,679745980,197256,702304874,197256,717497560,197256,735023182,197256,736475796,22.559,15.193,17.526,1.453,34.171,56.730,,,0,0
