camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,144868902,197726,144868902,197726,160335161,197726,186886655,197726,215932903,197726,221171619,15.466,26.551,29.046,5.239,60.836,76.303,,,0,0
front,0,160164917,197726,160164917,197726,172740290,197726,186886655,197726,218834774,197726,224133357,12.575,14.146,31.948,5.299,51.393,63.968,,,0,0
right,0,176241887,197726,176241887,197726,186740287,197726,186886655,197726,221573106,197726,224963694,10.498,0.146,34.686,3.391,38.223,48.722,15.296,31.373,0,0
left,0,246529310,197726,246529310,197726,259641958,197726,281628067,197726,301760754,197726,305201402,13.113,21.986,20.133,3.441,45.559,58.672,,,0,0
front,0,263408673,197726,263408673,197726,271277156,197726,281628067,197726,304736828,197726,306909560,7.868,10.351,23.109,2.173,35.632,43.501,,,0,0
right,0,273824565,197726,273824565,197726,281447240,197726,281628067,197726,306522905,197726,308718826,7.623,0.181,24.895,2.196,27.272,34.894,16.879,27.295,0,0
left,0,350128203,197726,350128203,197726,362050668,197726,395085578,197726,411429289,197726,413108918,11.922,33.035,16.344,1.680,51.058,62.981,,,0,0
front,0,370431517,197726,370431517,197726,378431585,197726,395085578,197726,412967141,197726,414521417,8.000,16.654,17.882,1.554,36.090,44.090,,,0,0
right,0,385995717,197726,385995717,197726,394907971,197726,395085578,197726,414120982,197726,415530471,8.912,0.178,19.035,1.409,20.622,29.535,20.303,35.868,0,0
left,0,448610011,197726,448610011,197726,458634346,197726,486616234,197726,502945807,197726,504587689,10.024,27.982,16.330,1.642,45.953,55.978,,,0,0
