camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,153173897,198404,153173897,198404,195965145,198404,203089168,198404,231058422,198404,257910955,42.791,7.124,27.969,26.853,61.946,104.737,,,0,0
front,0,166783149,198404,166783149,198404,200511373,198404,203089168,198404,234584924,198404,260707447,33.728,2.578,31.496,26.123,60.196,93.924,,,0,0
right,0,180275944,198404,180275944,198404,202847015,198404,203089168,198404,236943497,198404,262185727,22.571,0.242,33.854,25.242,59.339,81.910,13.609,27.102,0,0
left,0,255745698,198404,255745698,198404,283314990,198404,309494150,198404,330977582,198404,344682367,27.569,26.179,21.483,13.705,61.367,88.937,,,0,0
front,0,273961685,198404,273961685,198404,291705380,198404,309494150,198404,334454684,198404,348227867,17.744,17.789,24.961,13.773,56.522,74.266,,,0,0
right,0,291023777,198404,291023777,198404,309264490,198404,309494150,198404,337909063,198404,351347942,18.241,0.230,28.415,13.439,42.083,60.324,18.216,35.278,0,0
left,0,350639814,198404,350639814,198404,368882344,198404,399585719,198404,420908343,198404,433398090,18.243,30.703,21.323,12.490,64.516,82.758,,,0,0
front,0,364308779,198404,364308779,198404,381183941,198404,399585719,198404,422769564,198404,435022534,16.875,18.402,23.184,12.253,53.839,70.714,,,0,0
right,0,380976639,198404,380976639,198404,399343635,198404,399585719,198404,424182561,198404,436801697,18.367,0.242,24.597,12.619,37.458,55.825,13.669,30.337,0,0
left,0,455614626,198404,455614626,198404,483813648,198404,497032927,198404,515239423,198404,528849565,28.199,13.219,18.206,13.610,45.036,73.235,,,0,0
front,0,473521405,198404,473521405,198404,491393278,198404,497032927,198404,517478847,198404,540371348,17.872,5.640,20.446,22.893,48.978,66.850,,,0,0
right,0,490624485,198404,490624485,198404,496862492,198404,497032927,198404,518689119,198404,541887885,6.238,0.170,21.656,23.199,45.025,51.263,17.907,35.010,0,0
right,0,585041278,198404,585041278,198404,592198044,198404,592292020,198404,614342714,198404,637578324,7.157,0.094,22.051,23.236,45.380,52.537,,,0,0
left,0,555325400,198404,555325400,198404,576209961,198404,592292020,198404,611111059,198404,645377982,20.885,16.082,18.819,34.267,69.168,90.053,,,0,0
front,0,575397885,198404,575397885,198404,583818305,198404,592292020,198404,612920943,198404,646548317,8.420,8.474,20.629,33.627,62.730,71.150,20.072,29.716,0,0
left,0,655011177,198404,655011177,198404,674934225,198404,690700797,198404,707112233,198404,719443458,19.923,15.767,16.411,12.331,44.509,64.432,,,0,0
front,0,670911522,198404,670911522,198404,680281044,198404,690700797,198404,708430203,198404,720306230,9.370,10.420,17.729,11.876,40.025,49.395,,,0,0
right,0,683066024,198404,683066024,198404,690480260,198404,690700797,198404,709352192,198404,722051128,7.414,0.221,18.651,12.699,31.571,38.985,15.900,28.055,0,0
left,0,748662536,198404,748662536,198404,765943327,198404,807129836,198404,823558106,198404,835751217,17.281,41.187,16.428,12.193,69.808,87.089,,,0,0
front,0,766445726,198404,766445726,198404,796592355,198404,807129836,198404,824712774,198404,836953317,30.147,10.537,17.583,12.241,40.361,70.508,,,0,0
right,0,778175786,198404,778175786,198404,806911395,198404,807129836,198404,825710286,198404,848438546,28.736,0.218,18.580,22.728,41.527,70.263,17.783,29.513,0,0
left,0,855621167,198404,855621167,198404,884650573,198404,916258578,198404,932594536,198404,945136123,29.029,31.608,16.336,12.542,60.486,89.515,,,0,0
front,0,866355636,198404,866355636,198404,893358669,198404,916258578,198404,933595065,198404,945729616,27.003,22.900,17.336,12.135,52.371,79.374,,,0,0
right,0,875751002,198404,875751002,198404,916155894,198404,916258578,198404,934432379,198404,946296500,40.405,0.103,18.174,11.864,30.141,70.545,10.734,20.130,0,0
front,0,973497392,198404,973497392,198405,013735181,198405,013851091,198405,032195306,198405,044416814,40.238,0.116,18.344,12.222,30.682,70.919,,,0,0
right,0,984329120,198404,984329120,198405,002862887,198405,013851091,198405,033179990,198405,045314022,18.534,10.988,19.329,12.134,42.451,60.985,,,0,0
left,0,955751120,198404,955751120,198404,995416946,198405,013851091,198405,030465884,198405,054490038,39.666,18.434,16.615,24.024,59.073,98.739,17.746,28.578,0,0
left,0,149570027,198405,149570027,198405,183836483,198405,199082435,198405,215777193,198405,228524614,34.266,15.246,16.695,12.747,44.688,78.955,,,0,0
front,0,168588363,198405,168588363,198405,198939605,198405,199082435,198405,216813278,198405,229190915,30.351,0.143,17.731,12.378,30.251,60.603,,,0,0
right,0,74593362,198405,074593362,198405,202061223,198405,199082435,198405,217801129,198405,229929265,127.468,-2.979,18.719,12.128,27.868,155.336,19.018,-74.977,0,0
left,0,252688201,198405,252688201,198405,272473320,198405,279332938,198405,295674198,198405,308173325,19.785,6.860,16.341,12.499,35.700,55.485,,,0,0
right,0,274178595,198405,274178595,198405,279111874,198405,279332938,198405,297729847,198405,320068545,4.933,0.221,18.397,22.339,40.957,45.890,,,0,0
front,0,264350302,198405,264350302,198405,274070720,198405,279332938,198405,296676775,198405,329432061,9.720,5.262,17.344,32.755,55.361,65.082,11.662,21.490,0,0
left,0,350709288,198405,350709288,198405,369693888,198405,377824153,198405,395059999,198405,417655345,18.985,8.130,17.236,22.595,47.961,66.946,,,0,0
front,0,362087224,198405,362087224,198405,365488107,198405,377824153,198405,396108184,198405,428738309,3.401,12.336,18.284,32.630,63.250,66.651,,,0,0
right,0,371682025,198405,371682025,198405,377709982,198405,377824153,198405,397299821,198405,429610136,6.028,0.114,19.476,32.310,51.900,57.928,11.378,20.973,0,0
left,0,450123640,198405,450123640,198405,456114261,198405,476974032,198405,493719005,198405,505681561,5.991,20.860,16.745,11.963,49.567,55.558,,,0,0
right,0,470334166,198405,470334166,198405,476772056,198405,476974032,198405,496065594,198405,507946157,6.438,0.202,19.092,11.881,31.174,37.612,,,0,0
front,0,461230606,198405,461230606,198405,466129398,198405,476974032,198405,494830162,198405,527621299,4.899,10.845,17.856,32.791,61.492,66.391,11.107,20.211,0,0
right,0,569646227,198405,569646227,198405,585196565,198405,588215976,198405,609577227,198405,631853125,15.550,3.019,21.361,22.276,46.657,62.207,,,0,0
left,0,550274946,198405,550274946,198405,577238900,198405,588215976,198405,607637431,198405,640681614,26.964,10.977,19.421,33.044,63.443,90.407,,,0,0
front,0,560862308,198405,560862308,198405,588021610,198405,588215976,198405,608570846,198405,641140995,27.159,0.194,20.355,32.570,53.119,80.279,10.587,19.371,0,0
