camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,309368233,194770,309368233,194770,309368233,194770,331925452,194770,345343097,194770,370278866,0.000,22.557,13.418,24.936,60.911,60.911,,,0,0
right,0,336688656,194770,336688656,194770,336688656,194770,357217838,194770,368089451,194770,391979410,0.000,20.529,10.872,23.890,55.291,55.291,,,0,0
left,0,416621936,194770,416621936,194770,416621936,194770,437173698,194770,443793013,194770,477220264,0.000,20.552,6.619,33.427,60.598,60.598,,,0,0
right,0,443209971,194770,443209971,194770,443209971,194770,461739208,194770,468034422,194770,479316164,0.000,18.529,6.295,11.282,36.106,36.106,,,0,0
left,0,517162643,194770,517162643,194770,517162643,194770,537266027,194770,544359586,194770,556737289,0.000,20.103,7.094,12.378,39.575,39.575,,,0,0
left,0,615896539,194770,615896539,194770,615896539,194770,636577132,194770,644393850,194770,656490839,0.000,20.681,7.817,12.097,40.594,40.594,,,0,0
right,0,649994901,194770,649994901,194770,649994901,194770,665072542,194770,672035226,194770,694315249,0.000,15.078,6.963,22.280,44.320,44.320,,,0,0
left,0,710408093,194770,710408093,194770,710408093,194770,727328759,194770,734263012,194770,746083001,0.000,16.921,6.934,11.820,35.675,35.675,,,0,0
right,0,738316388,194770,738316388,194770,738316388,194770,758773319,194770,765289091,194770,777082131,0.000,20.457,6.516,11.793,38.766,38.766,,,0,0
left,0,816579958,194770,816579958,194770,816579958,194770,838249346,194770,845216973,194770,856941161,0.000,21.669,6.968,11.724,40.361,40.361,,,0,0
right,0,846520935,194770,846520935,194770,846520935,194770,869936575,194770,876770592,194770,888421243,0.000,23.416,6.834,11.651,41.900,41.900,,,0,0
left,0,914112002,194770,914112002,194770,914112002,194770,934376755,194770,941593474,194770,953270123,0.000,20.265,7.217,11.677,39.158,39.158,,,0,0
right,0,943240367,194770,943240367,194770,943240367,194770,959625685,194770,966282868,194770,988127252,0.000,16.385,6.657,21.844,44.887,44.887,,,0,0
left,0,13023505,194771,013023505,194771,013023505,194771,034443261,194771,041296739,194771,063730722,0.000,21.420,6.853,22.434,50.707,50.707,,,0,0
right,0,40953366,194771,040953366,194771,040953366,194771,060998549,194771,067651600,194771,089858275,0.000,20.045,6.653,22.207,48.905,48.905,,,0,0
left,0,112680205,194771,112680205,194771,112680205,194771,127490407,194771,134358118,194771,156835690,0.000,14.810,6.868,22.478,44.155,44.155,,,0,0
right,0,141443004,194771,141443004,194771,141443004,194771,156702827,194771,163453509,194771,185970665,0.000,15.260,6.751,22.517,44.528,44.528,,,0,0
left,0,216163866,194771,216163866,194771,216163866,194771,231521998,194771,238942211,194771,251020484,0.000,15.358,7.420,12.078,34.857,34.857,,,0,0
right,0,248199222,194771,248199222,194771,248199222,194771,268795508,194771,275387695,194771,287006980,0.000,20.596,6.592,11.619,38.808,38.808,,,0,0
left,0,315892069,194771,315892069,194771,315892069,194771,330295307,194771,337196065,194771,349524625,0.000,14.403,6.901,12.329,33.633,33.633,,,0,0
front,0,334636280,194771,334636280,194771,334636280,194771,355281774,194771,366650784,194771,390245307,0.000,20.645,11.369,23.595,55.609,55.609,,,0,0
right,0,347709008,194771,347709008,194771,347709008,194771,363773013,194771,370251980,194771,392111109,0.000,16.064,6.479,21.859,44.402,44.402,,,0,0
left,0,415063888,194771,415063888,194771,415063888,194771,431333187,194771,438214802,194771,450108844,0.000,16.269,6.882,11.894,35.045,35.045,,,0,0
right,0,441477069,194771,441477069,194771,441477069,194771,461754602,194771,468542399,194771,490785121,0.000,20.278,6.788,22.243,49.308,49.308,,,0,0
left,0,514459731,194771,514459731,194771,514459731,194771,535696697,194771,542556329,194771,564565079,0.000,21.237,6.860,22.009,50.105,50.105,,,0,0
left,0,609038911,194771,609038911,194771,609038911,194771,629491976,194771,636608190,194771,648016935,0.000,20.453,7.116,11.409,38.978,38.978,,,0,0
left,0,716224613,194771,716224613,194771,716224613,194771,736391428,194771,743568431,194771,755271297,0.000,20.167,7.177,11.703,39.047,39.047,,,0,0
front,0,622333056,194771,622333056,194771,622333056,194771,754287399,194771,761870482,194771,773855131,0.000,131.954,7.583,11.985,151.522,151.522,,,0,0
