camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,464684944,195934,464684944,195934,464684944,195934,489012899,195934,501829167,195934,515951118,0.000,24.328,12.816,14.122,51.266,51.266,,,0,0
front,0,488531550,195934,488531550,195934,488531550,195934,507133919,195934,518876131,195934,531991047,0.000,18.602,11.742,13.115,43.459,43.459,,,0,0
right,0,508202256,195934,508202256,195934,508202256,195934,526683946,195934,536382994,195934,570508230,0.000,18.482,9.699,34.125,62.306,62.306,,,0,0
left,0,564811930,195934,564811930,195934,564811930,195934,583423664,195934,589900236,195934,601303295,0.000,18.612,6.477,11.403,36.491,36.491,,,0,0
front,0,585831717,195934,585831717,195934,585831717,195934,603300430,195934,610354004,195934,633534044,0.000,17.469,7.054,23.180,47.702,47.702,,,0,0
right,0,598839766,195934,598839766,195934,598839766,195934,619922216,195934,626333400,195934,648252567,0.000,21.082,6.411,21.919,49.413,49.413,,,0,0
left,0,664345072,195934,664345072,195934,664345072,195934,684243887,195934,690852481,195934,702290877,0.000,19.899,6.609,11.438,37.946,37.946,,,0,0
front,0,678002518,195934,678002518,195934,678002518,195934,693320672,195934,700621242,195934,722580455,0.000,15.318,7.301,21.959,44.578,44.578,,,0,0
right,0,693418233,195934,693418233,195934,693418233,195934,714902056,195934,721143507,195934,742877001,0.000,21.484,6.241,21.733,49.459,49.459,,,0,0
left,0,759529251,195934,759529251,195934,759529251,195934,776635593,195934,783211408,195934,784023231,0.000,17.106,6.576,0.812,24.494,24.494,,,0,0
front,0,774039437,195934,774039437,195934,774039437,195934,790187777,195934,796822371,195934,809038228,0.000,16.148,6.635,12.216,34.999,34.999,,,0,0
right,0,787624956,195934,787624956,195934,787624956,195934,804755450,195934,811228349,195934,822754053,0.000,17.130,6.473,11.526,35.129,35.129,,,0,0
left,0,863397683,195934,863397683,195934,863397683,195934,884170006,195934,891093564,195934,902620626,0.000,20.772,6.924,11.527,39.223,39.223,,,0,0
right,0,891566118,195934,891566118,195934,891566118,195934,912303899,195934,918633656,195934,919460389,0.000,20.738,6.330,0.827,27.894,27.894,,,0,0
front,0,876524165,195934,876524165,195934,876524165,195934,892893229,195934,899668147,195934,921605491,0.000,16.369,6.775,21.937,45.081,45.081,,,0,0
left,0,959942705,195934,959942705,195934,959942705,195934,981764541,195934,988690659,195934,989804341,0.000,21.822,6.926,1.114,29.862,29.862,,,0,0
front,0,974657494,195934,974657494,195934,974657494,195934,992214551,195934,998873594,195934,999667219,0.000,17.557,6.659,0.794,25.010,25.010,,,0,0
right,0,990256728,195934,990256728,195934,990256728,195935,011236860,195935,017601989,195935,018435222,0.000,20.980,6.365,0.833,28.178,28.178,,,0,0
left,0,59798000,195935,059798000,195935,059798000,195935,080561478,195935,087470891,195935,099380422,0.000,20.763,6.909,11.910,39.582,39.582,,,0,0
front,0,74543906,195935,074543906,195935,074543906,195935,096967674,195935,103455778,195935,114964490,0.000,22.424,6.488,11.509,40.421,40.421,,,0,0
right,0,94708800,195935,094708800,195935,094708800,195935,116956513,195935,123414478,195935,134932754,0.000,22.248,6.458,11.518,40.224,40.224,,,0,0
left,0,160979695,195935,160979695,195935,160979695,195935,181665905,195935,188419578,195935,200316791,0.000,20.686,6.754,11.897,39.337,39.337,,,0,0
front,0,175843206,195935,175843206,195935,175843206,195935,189684641,195935,196593681,195935,207977691,0.000,13.841,6.909,11.384,32.134,32.134,,,0,0
right,0,189756957,195935,189756957,195935,189756957,195935,208254770,195935,214760379,195935,237406427,0.000,18.498,6.506,22.646,47.649,47.649,,,0,0
left,0,264788317,195935,264788317,195935,264788317,195935,282110785,195935,289877890,195935,302714977,0.000,17.322,7.767,12.837,37.927,37.927,,,0,0
front,0,278642022,195935,278642022,195935,278642022,195935,296381870,195935,302909959,195935,325132867,0.000,17.740,6.528,22.223,46.491,46.491,,,0,0
right,0,299372732,195935,299372732,195935,299372732,195935,312348734,195935,318906561,195935,330494462,0.000,12.976,6.558,11.588,31.122,31.122,,,0,0
left,0,361036663,195935,361036663,195935,361036663,195935,379565301,195935,387389502,195935,388880253,0.000,18.529,7.824,1.491,27.844,27.844,,,0,0
front,0,374305504,195935,374305504,195935,374305504,195935,391960397,195935,398376655,195935,420958926,0.000,17.655,6.416,22.582,46.653,46.653,,,0,0
right,0,389585608,195935,389585608,195935,389585608,195935,410031232,195935,416609083,195935,439144212,0.000,20.446,6.578,22.535,49.559,49.559,,,0,0
left,0,458582676,195935,458582676,195935,458582676,195935,477328253,195935,484576850,195935,506512618,0.000,18.746,7.249,21.936,47.930,47.930,,,0,0
front,0,472700517,195935,472700517,195935,472700517,195935,488607602,195935,494891258,195935,517139116,0.000,15.907,6.284,22.248,44.439,44.439,,,0,0
right,0,490283791,195935,490283791,195935,490283791,195935,510258811,195935,517219539,195935,528603972,0.000,19.975,6.961,11.384,38.320,38.320,,,0,0
left,0,557796006,195935,557796006,195935,557796006,195935,577308409,195935,584129669,195935,585290794,0.000,19.512,6.821,1.161,27.495,27.495,,,0,0
front,0,571054520,195935,571054520,195935,571054520,195935,586549253,195935,593197311,195935,604746813,0.000,15.495,6.648,11.550,33.692,33.692,,,0,0
right,0,586494136,195935,586494136,195935,586494136,195935,601519205,195935,608234628,195935,619738144,0.000,15.025,6.715,11.504,33.244,33.244,,,0,0
left,0,664901776,195935,664901776,195935,664901776,195935,678318966,195935,685589211,195935,686508845,0.000,13.417,7.270,0.920,21.607,21.607,,,0,0
right,0,696037667,195935,696037667,195935,696037667,195935,715341808,195935,721775289,195935,722526389,0.000,19.304,6.433,0.751,26.489,26.489,,,0,0
front,0,683265015,195935,683265015,195935,683265015,195935,704624592,195935,711539240,195935,722791650,0.000,21.360,6.915,11.252,39.527,39.527,,,0,0
left,0,765112117,195935,765112117,195935,765112117,195935,781695349,195935,788820006,195935,800578266,0.000,16.583,7.125,11.758,35.466,35.466,,,0,0
front,0,784613348,195935,784613348,195935,784613348,195935,800574267,195935,808506957,195935,809424505,0.000,15.961,7.933,0.918,24.811,24.811,,,0,0
right,0,797240618,195935,797240618,195935,797240618,195935,817594273,195935,824013148,195935,835582769,0.000,20.354,6.419,11.570,38.342,38.342,,,0,0
left,0,861380983,195935,861380983,195935,861380983,195935,882981176,195935,889813927,195935,912234453,0.000,21.600,6.833,22.421,50.853,50.853,,,0,0
front,0,875448923,195935,875448923,195935,875448923,195935,891849219,195935,899472624,195935,921655613,0.000,16.400,7.623,22.183,46.207,46.207,,,0,0
right,0,891925035,195935,891925035,195935,891925035,195935,907742927,195935,914287770,195935,936565946,0.000,15.818,6.545,22.278,44.641,44.641,,,0,0
left,0,959611219,195935,959611219,195935,959611219,195935,979790807,195935,987112964,195935,998479501,0.000,20.180,7.322,11.367,38.868,38.868,,,0,0
front,0,973352530,195935,973352530,195935,973352530,195935,990987894,195935,997444356,195936,019654335,0.000,17.635,6.456,22.210,46.302,46.302,,,0,0
right,0,987411588,195935,987411588,195935,987411588,195936,009856233,195936,016769449,195936,027935612,0.000,22.445,6.913,11.166,40.524,40.524,,,0,0
left,0,58879674,195936,058879674,195936,058879674,195936,070546265,195936,077158430,195936,088647441,0.000,11.667,6.612,11.489,29.768,29.768,,,0,0
front,0,79537226,195936,079537226,195936,079537226,195936,095844802,195936,102604991,195936,114011868,0.000,16.308,6.760,11.407,34.475,34.475,,,0,0
right,0,98740363,195936,098740363,195936,098740363,195936,111798514,195936,118413702,195936,129908401,0.000,13.058,6.615,11.495,31.168,31.168,,,0,0
front,0,177511267,195936,177511267,195936,177511267,195936,190440554,195936,197472688,195936,208846693,0.000,12.929,7.032,11.374,31.335,31.335,,,0,0
left,0,163454797,195936,163454797,195936,163454797,195936,184883347,195936,192099136,195936,214282643,0.000,21.429,7.216,22.184,50.828,50.828,,,0,0
right,0,190328164,195936,190328164,195936,190328164,195936,205815664,195936,212270233,195936,223740238,0.000,15.488,6.455,11.470,33.412,33.412,,,0,0
left,0,259179464,195936,259179464,195936,259179464,195936,278196597,195936,284750889,195936,296332593,0.000,19.017,6.554,11.582,37.153,37.153,,,0,0
front,0,274153500,195936,274153500,195936,274153500,195936,286208781,195936,292954433,195936,304269988,0.000,12.055,6.746,11.316,30.116,30.116,,,0,0
right,0,288590372,195936,288590372,195936,288590372,195936,306684761,195936,312770389,195936,334661176,0.000,18.094,6.086,21.891,46.071,46.071,,,0,0
left,0,360910799,195936,360910799,195936,360910799,195936,377153070,195936,383844277,195936,395538626,0.000,16.242,6.691,11.694,34.628,34.628,,,0,0
front,0,374228362,195936,374228362,195936,374228362,195936,392837871,195936,399347098,195936,421593230,0.000,18.610,6.509,22.246,47.365,47.365,,,0,0
right,0,390315133,195936,390315133,195936,390315133,195936,405540794,195936,411800082,195936,444445801,0.000,15.226,6.259,32.646,54.131,54.131,,,0,0
left,0,459217275,195936,459217275,195936,459217275,195936,478688137,195936,485724249,195936,518384583,0.000,19.471,7.036,32.660,59.167,59.167,,,0,0
front,0,473614282,195936,473614282,195936,473614282,195936,488748089,195936,495196357,195936,528089595,0.000,15.134,6.448,32.893,54.475,54.475,,,0,0
right,0,487459308,195936,487459308,195936,487459308,195936,506190695,195936,512426024,195936,545067507,0.000,18.731,6.235,32.641,57.608,57.608,,,0,0
left,0,557946818,195936,557946818,195936,557946818,195936,572313307,195936,578922716,195936,612249282,0.000,14.366,6.609,33.327,54.302,54.302,,,0,0
right,0,587761515,195936,587761515,195936,587761515,195936,601032508,195936,607603325,195936,618890072,0.000,13.271,6.571,11.287,31.129,31.129,,,0,0
front,0,571856294,195936,571856294,195936,571856294,195936,595741140,195936,603041310,195936,624760452,0.000,23.885,7.300,21.719,52.904,52.904,,,0,0
