camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,784584184,194342,784584184,194342,784584184,194342,793739924,194342,800600983,194343,239648958,0.000,9.156,6.861,439.048,455.065,455.065,,,0,0
front,0,801124465,194342,801124465,194342,801124465,194342,808300274,194342,815847606,194343,249789363,0.000,7.176,7.547,433.942,448.665,448.665,,,0,0
right,0,816425511,194342,816425511,194342,816425511,194342,822638209,194342,828998277,194343,260011965,0.000,6.213,6.360,431.014,443.586,443.586,,,0,0
left,0,884621332,194342,884621332,194342,884621332,194342,891255080,194342,898829937,194343,279878297,0.000,6.634,7.575,381.048,395.257,395.257,,,0,0
front,0,898188531,194342,898188531,194342,898188531,194342,903550828,194342,910937871,194343,289964726,0.000,5.362,7.387,379.027,391.776,391.776,,,0,0
right,0,911613950,194342,911613950,194342,911613950,194342,916808116,194342,923266639,194343,300493303,0.000,5.194,6.459,377.227,388.879,388.879,,,0,0
left,0,984478170,194342,984478170,194342,984478170,194342,991315981,194342,997850073,194343,321103054,0.000,6.838,6.534,323.253,336.625,336.625,,,0,0
right,0,11101345,194343,011101345,194343,011101345,194343,016462072,194343,022919313,194343,342713241,0.000,5.361,6.457,319.794,331.612,331.612,,,0,0
left,0,84386966,194343,084386966,194343,084386966,194343,090914462,194343,097690401,194343,362300993,0.000,6.527,6.776,264.611,277.914,277.914,,,0,0
right,0,113640661,194343,113640661,194343,113640661,194343,121136117,194343,128058562,194343,383532543,0.000,7.495,6.922,255.474,269.892,269.892,,,0,0
right,0,201038386,194343,201038386,194343,201038386,194343,206916861,194343,213488252,194343,383814258,0.000,5.878,6.571,170.326,182.776,182.776,,,0,0
right,0,306386991,194343,306386991,194343,306386991,194343,317685183,194343,324413349,194343,384085115,0.000,11.298,6.728,59.672,77.698,77.698,,,0,0
left,0,178357758,194343,178357758,194343,178357758,194343,185169611,194343,192002993,194343,402769683,0.000,6.812,6.833,210.767,224.412,224.412,,,0,0
left,0,281199914,194343,281199914,194343,281199914,194343,288558787,194343,295402132,194343,414136781,0.000,7.359,6.843,118.735,132.937,132.937,,,0,0
left,0,379578048,194343,379578048,194343,379578048,194343,386413613,194343,393436280,194343,414538100,0.000,6.836,7.023,21.102,34.960,34.960,,,0,0
right,0,403876660,194343,403876660,194343,403876660,194343,409909950,194343,417852135,194343,435436868,0.000,6.033,7.942,17.585,31.560,31.560,,,0,0
left,0,481194510,194343,481194510,194343,481194510,194343,488097471,194343,495007686,194343,501531430,0.000,6.903,6.910,6.524,20.337,20.337,,,0,0
right,0,509602234,194343,509602234,194343,509602234,194343,515885127,194343,522431360,194343,529664674,0.000,6.283,6.546,7.233,20.062,20.062,,,0,0
right,0,607128100,194343,607128100,194343,607128100,194343,612892001,194343,619905844,194343,626696718,0.000,5.764,7.014,6.791,19.569,19.569,,,0,0
front,0,189910141,194343,189910141,194343,189910141,194343,195695452,194343,202459909,194343,649527560,0.000,5.785,6.764,447.068,459.617,459.617,,,0,0
front,0,293824817,194343,293824817,194343,293824817,194343,298568050,194343,304860124,194343,678274437,0.000,4.743,6.292,373.414,384.450,384.450,,,0,0
front,0,391570737,194343,391570737,194343,391570737,194343,404897963,194343,412016179,194343,737564348,0.000,13.327,7.118,325.548,345.994,345.994,,,0,0
front,0,495076660,194343,495076660,194343,495076660,194343,501188048,194343,507982260,194343,755591543,0.000,6.111,6.794,247.609,260.515,260.515,,,0,0
front,0,594364481,194343,594364481,194343,594364481,194343,600832005,194343,607704283,194343,783710402,0.000,6.468,6.872,176.006,189.346,189.346,,,0,0
front,0,697777116,194343,697777116,194343,697777116,194343,701453877,194343,707775808,194343,784011918,0.000,3.677,6.322,76.236,86.235,86.235,,,0,0
left,0,580046713,194343,580046713,194343,580046713,194343,586858768,194343,593745511,194343,815932108,0.000,6.812,6.887,222.187,235.885,235.885,,,0,0
left,0,684463541,194343,684463541,194343,684463541,194343,689153938,194343,696383242,194343,852011356,0.000,4.690,7.229,155.628,167.548,167.548,,,0,0
