camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,445678028,195609,445678028,195609,445678028,195609,477839827,195609,490832148,195609,515531394,0.000,32.162,12.992,24.699,69.853,69.853,,,0,0
front,0,459656780,195609,459656780,195609,459656780,195609,481166213,195609,494600913,195609,529211931,0.000,21.509,13.435,34.611,69.555,69.555,,,0,0
right,0,473156675,195609,473156675,195609,473156675,195609,494242740,195609,503967159,195609,537594396,0.000,21.086,9.724,33.627,64.438,64.438,,,0,0
left,0,545485778,195609,545485778,195609,545485778,195609,560618838,195609,570194815,195609,581633503,0.000,15.133,9.576,11.439,36.148,36.148,,,0,0
front,0,560582809,195609,560582809,195609,560582809,195609,574978049,195609,583600903,195609,595632576,0.000,14.395,8.623,12.032,35.050,35.050,,,0,0
right,0,570653403,195609,570653403,195609,570653403,195609,586278442,195609,592379605,195609,603622327,0.000,15.625,6.101,11.243,32.969,32.969,,,0,0
front,0,654412069,195609,654412069,195609,654412069,195609,669052575,195609,679469033,195609,691027179,0.000,14.641,10.416,11.558,36.615,36.615,,,0,0
left,0,642613167,195609,642613167,195609,642613167,195609,670748180,195609,681794508,195609,692958289,0.000,28.135,11.046,11.164,50.345,50.345,,,0,0
right,0,663599713,195609,663599713,195609,663599713,195609,679438854,195609,685822633,195609,696848850,0.000,15.839,6.384,11.026,33.249,33.249,,,0,0
left,0,738884693,195609,738884693,195609,738884693,195609,755841534,195609,766523588,195609,777714652,0.000,16.957,10.682,11.191,38.830,38.830,,,0,0
front,0,750155305,195609,750155305,195609,750155305,195609,765180345,195609,776870769,195609,798340725,0.000,15.025,11.690,21.470,48.185,48.185,,,0,0
right,0,760014143,195609,760014143,195609,760014143,195609,765766682,195609,772981574,195609,804874758,0.000,5.753,7.215,31.893,44.861,44.861,,,0,0
front,0,849904762,195609,849904762,195609,849904762,195609,853920035,195609,864377182,195609,875510958,0.000,4.015,10.457,11.134,25.606,25.606,,,0,0
left,0,839317734,195609,839317734,195609,839317734,195609,855366014,195609,867285663,195609,878531973,0.000,16.048,11.920,11.246,39.214,39.214,,,0,0
right,0,863343827,195609,863343827,195609,863343827,195609,879215484,195609,885461056,195609,907904196,0.000,15.872,6.246,22.443,44.560,44.560,,,0,0
left,0,939997283,195609,939997283,195609,939997283,195609,956186559,195609,967321470,195609,968120779,0.000,16.189,11.135,0.799,28.123,28.123,,,0,0
right,0,961025453,195609,961025453,195609,961025453,195609,965501321,195609,972248204,195609,972951640,0.000,4.476,6.747,0.703,11.926,11.926,,,0,0
front,0,951169389,195609,951169389,195609,951169389,195609,966216025,195609,976674502,195609,977403944,0.000,15.047,10.458,0.729,26.235,26.235,,,0,0
left,0,45607868,195610,045607868,195610,045607868,195610,061351747,195610,070721372,195610,071553902,0.000,15.744,9.370,0.833,25.946,25.946,,,0,0
