camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,954963571,196450,954963571,196450,954963571,196450,977725611,196450,991667205,196450,995437401,0.000,22.762,13.942,3.770,40.474,40.474,,,0,0
front,0,977231146,196450,977231146,196450,977231146,196450,993131055,196451,004217063,196451,007361195,0.000,15.900,11.086,3.144,30.130,30.130,,,0,0
right,0,992111119,196450,992111119,196450,992111119,196451,009351777,196451,019763808,196451,021352835,0.000,17.241,10.412,1.589,29.242,29.242,,,0,0
left,0,55238874,196451,055238874,196451,055238874,196451,070477808,196451,078053558,196451,079471589,0.000,15.239,7.576,1.418,24.233,24.233,,,0,0
front,0,68568685,196451,068568685,196451,068568685,196451,084424981,196451,091509562,196451,092581552,0.000,15.856,7.085,1.072,24.013,24.013,,,0,0
right,0,82466299,196451,082466299,196451,082466299,196451,098927961,196451,105422601,196451,106410407,0.000,16.462,6.495,0.988,23.944,23.944,,,0,0
left,0,155589733,196451,155589733,196451,155589733,196451,178460901,196451,185071372,196451,186421655,0.000,22.871,6.610,1.350,30.832,30.832,,,0,0
front,0,171094783,196451,171094783,196451,171094783,196451,190789195,196451,197584092,196451,199093741,0.000,19.694,6.795,1.510,27.999,27.999,,,0,0
right,0,183798600,196451,183798600,196451,183798600,196451,201961528,196451,208860120,196451,210313908,0.000,18.163,6.899,1.454,26.515,26.515,,,0,0
left,0,253138616,196451,253138616,196451,253138616,196451,268477186,196451,274971656,196451,276042323,0.000,15.339,6.494,1.071,22.904,22.904,,,0,0
front,0,272424066,196451,272424066,196451,272424066,196451,292958500,196451,300022429,196451,301433903,0.000,20.534,7.064,1.411,29.010,29.010,,,0,0
right,0,285467769,196451,285467769,196451,285467769,196451,302157784,196451,308493732,196451,309557466,0.000,16.690,6.336,1.064,24.090,24.090,,,0,0
left,0,355094533,196451,355094533,196451,355094533,196451,370345395,196451,377244674,196451,379142549,0.000,15.251,6.899,1.898,24.048,24.048,,,0,0
front,0,368776483,196451,368776483,196451,368776483,196451,388426148,196451,395171678,196451,396482941,0.000,19.650,6.746,1.311,27.706,27.706,,,0,0
right,0,383407547,196451,383407547,196451,383407547,196451,400242404,196451,407158551,196451,408302826,0.000,16.835,6.916,1.144,24.895,24.895,,,0,0
left,0,455480083,196451,455480083,196451,455480083,196451,467944621,196451,475846028,196451,477358708,0.000,12.465,7.901,1.513,21.879,21.879,,,0,0
front,0,470366852,196451,470366852,196451,470366852,196451,484538390,196451,491231126,196451,492435211,0.000,14.172,6.693,1.204,22.068,22.068,,,0,0
right,0,482998348,196451,482998348,196451,482998348,196451,499027529,196451,505693187,196451,506801578,0.000,16.029,6.666,1.108,23.803,23.803,,,0,0
left,0,555807612,196451,555807612,196451,555807612,196451,571397863,196451,578014711,196451,579214900,0.000,15.590,6.617,1.200,23.407,23.407,,,0,0
front,0,575532836,196451,575532836,196451,575532836,196451,596859902,196451,603650670,196451,604916378,0.000,21.327,6.791,1.266,29.384,29.384,,,0,0
right,0,597025879,196451,597025879,196451,597025879,196451,617750731,196451,624172560,196451,625325729,0.000,20.725,6.422,1.153,28.300,28.300,,,0,0
left,0,655841659,196451,655841659,196451,655841659,196451,674745587,196451,681319714,196451,682606956,0.000,18.904,6.574,1.287,26.765,26.765,,,0,0
front,0,670361771,196451,670361771,196451,670361771,196451,687227641,196451,694007877,196451,695831559,0.000,16.866,6.780,1.824,25.470,25.470,,,0,0
right,0,688655954,196451,688655954,196451,688655954,196451,709642506,196451,716138507,196451,717510138,0.000,20.987,6.496,1.372,28.854,28.854,,,0,0
left,0,755293137,196451,755293137,196451,755293137,196451,776701209,196451,783715353,196451,785409872,0.000,21.408,7.014,1.695,30.117,30.117,,,0,0
front,0,769391505,196451,769391505,196451,769391505,196451,785910467,196451,792604467,196451,794285904,0.000,16.519,6.694,1.681,24.894,24.894,,,0,0
right,0,782531572,196451,782531572,196451,782531572,196451,797838940,196451,804327567,196451,805365473,0.000,15.307,6.489,1.038,22.834,22.834,,,0,0
left,0,856097776,196451,856097776,196451,856097776,196451,870848837,196451,877851263,196451,879177332,0.000,14.751,7.002,1.326,23.080,23.080,,,0,0
front,0,875860266,196451,875860266,196451,875860266,196451,897601415,196451,904577233,196451,906529929,0.000,21.741,6.976,1.953,30.670,30.670,,,0,0
right,0,889579880,196451,889579880,196451,889579880,196451,907802668,196451,914405832,196451,915464743,0.000,18.223,6.603,1.059,25.885,25.885,,,0,0
left,0,955493373,196451,955493373,196451,955493373,196451,975679979,196451,983047720,196451,985380434,0.000,20.187,7.368,2.333,29.887,29.887,,,0,0
front,0,975849018,196451,975849018,196451,975849018,196451,992925625,196451,999660857,196452,000837765,0.000,17.077,6.735,1.177,24.989,24.989,,,0,0
right,0,990494147,196451,990494147,196451,990494147,196452,013059581,196452,019560764,196452,020678630,0.000,22.565,6.501,1.118,30.184,30.184,,,0,0
left,0,54614716,196452,054614716,196452,054614716,196452,076105329,196452,083245109,196452,085165383,0.000,21.491,7.140,1.920,30.551,30.551,,,0,0
front,0,68597467,196452,068597467,196452,068597467,196452,084957947,196452,091425176,196452,092743095,0.000,16.360,6.467,1.318,24.146,24.146,,,0,0
right,0,81550440,196452,081550440,196452,081550440,196452,096877063,196452,103683525,196452,106088709,0.000,15.327,6.806,2.405,24.538,24.538,,,0,0
left,0,149346371,196452,149346371,196452,149346371,196452,167879421,196452,174723971,196452,176016396,0.000,18.533,6.845,1.292,26.670,26.670,,,0,0
front,0,165506046,196452,165506046,196452,165506046,196452,183353685,196452,189777857,196452,191085660,0.000,17.848,6.424,1.308,25.580,25.580,,,0,0
right,0,186975653,196452,186975653,196452,186975653,196452,205246410,196452,212328152,196452,213899030,0.000,18.271,7.082,1.571,26.923,26.923,,,0,0
left,0,249370265,196452,249370265,196452,249370265,196452,266824503,196452,273716964,196452,275056420,0.000,17.454,6.892,1.339,25.686,25.686,,,0,0
front,0,263313607,196452,263313607,196452,263313607,196452,279009798,196452,285788677,196452,287055918,0.000,15.696,6.779,1.267,23.742,23.742,,,0,0
right,0,279423087,196452,279423087,196452,279423087,196452,297968517,196452,304403345,196452,305660690,0.000,18.545,6.435,1.257,26.238,26.238,,,0,0
front,0,376877357,196452,376877357,196452,376877357,196452,388045505,196452,394633544,196452,397185133,0.000,11.168,6.588,2.552,20.308,20.308,,,0,0
right,0,390338695,196452,390338695,196452,390338695,196452,404276423,196452,410805169,196452,412239812,0.000,13.938,6.529,1.435,21.901,21.901,,,0,0
left,0,355595722,196452,355595722,196452,355595722,196452,374025233,196452,380733116,196452,478977618,0.000,18.430,6.708,98.245,123.382,123.382,,,0,0
left,0,453210212,196452,453210212,196452,453210212,196452,469462623,196452,476091689,196452,480257873,0.000,16.252,6.629,4.166,27.048,27.048,,,0,0
front,0,473675587,196452,473675587,196452,473675587,196452,484789248,196452,491269191,196452,493117946,0.000,11.114,6.480,1.849,19.442,19.442,,,0,0
right,0,486933289,196452,486933289,196452,486933289,196452,506076161,196452,512757599,196452,514634735,0.000,19.143,6.681,1.877,27.701,27.701,,,0,0
left,0,552982580,196452,552982580,196452,552982580,196452,572102897,196452,579496756,196452,582561927,0.000,19.120,7.394,3.065,29.579,29.579,,,0,0
