camera_id,packet_seq_num,msg_hdr_seq_nsec,t0_imgpub_sec,t0_imgpub_nsec,t1_segnode_cb_sec,t1_segnode_cb_nsec,t2_segnode_batchstart_sec,t2_segnode_batchstart_nsec,t3_segnode_respub_sec,t3_segnode_respub_nsec,t4_segsub_resrecv_sec,t4_segsub_resrecv_nsec,lat_imgpub_to_cb_ms,lat_cb_to_batch_start_ms,lat_batch_start_to_res_pub_ms,lat_res_pub_to_res_recv_ms,lat_segnode_cb_to_segsub_recv_ms,lat_total_e2e_ms,offset_T0_front_vs_left_ms,offset_T0_right_vs_left_ms,lost_pkts_since_last,total_lost_pkts_cam
left,0,767127664,197481,767127664,197481,791943597,197481,824134986,197481,849439624,197481,855099639,24.816,32.191,25.305,5.660,63.156,87.972,,,0,0
right,0,805196619,197481,805196619,197481,823961338,197481,824134986,197481,855805373,197481,859164856,18.765,0.174,31.670,3.359,35.204,53.968,,,0,0
left,0,861802474,197481,861802474,197481,881723745,197481,905051845,197481,922090380,197481,924429022,19.921,23.328,17.039,2.339,42.705,62.627,,,0,0
front,0,875817178,197481,875817178,197481,897465168,197481,905051845,197481,923567323,197481,925104551,21.648,7.587,18.515,1.537,27.639,49.287,,,0,0
right,0,888783987,197481,888783987,197481,904457833,197481,905051845,197481,924920743,197481,927027914,15.674,0.594,19.869,2.107,22.570,38.244,14.015,26.982,0,0
left,0,966595702,197481,966595702,197481,988789853,197482,028785001,197482,044994826,197482,046883430,22.194,39.995,16.210,1.889,58.094,80.288,,,0,0
front,0,988095669,197481,988095669,197482,011341890,197482,028785001,197482,046630101,197482,047972551,23.246,17.443,17.845,1.342,36.631,59.877,,,0,0
right,0,6765153,197482,006765153,197482,028161670,197482,028785001,197482,047794216,197482,049219903,21.397,0.623,19.009,1.426,21.058,42.455,21.500,40.169,0,0
left,0,66583988,197482,066583988,197482,085955757,197482,119684516,197482,136436785,197482,138168267,19.372,33.729,16.752,1.731,52.213,71.584,,,0,0
front,0,88312029,197482,088312029,197482,110966991,197482,119684516,197482,138097740,197482,139426835,22.655,8.718,18.413,1.329,28.460,51.115,,,0,0
right,0,103886876,197482,103886876,197482,118956544,197482,119684516,197482,139236803,197482,140559820,15.070,0.728,19.552,1.323,21.603,36.673,21.728,37.303,0,0
left,0,161147124,197482,161147124,197482,178218296,197482,203909617,197482,220206913,197482,222406037,17.071,25.691,16.297,2.199,44.188,61.259,,,0,0
front,0,174851278,197482,174851278,197482,192153653,197482,203909617,197482,222648223,197482,224290102,17.302,11.756,18.739,1.642,32.136,49.439,,,0,0
right,0,187599321,197482,187599321,197482,203191628,197482,203909617,197482,224153464,197482,225356227,15.592,0.718,20.244,1.203,22.165,37.757,13.704,26.452,0,0
